No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Frank Kaminsky,F-C,7-0,240,"April 4, 1993",us,6,Wisconsin
,Jae Crowder,F,6-6,235,"July 6, 1990",us,9,Marquette
,Devin Booker,G,6-5,206,"October 30, 1996",us,6,Kentucky
,JaVale McGee,C,7-0,270,"January 19, 1988",us,13,Nevada
,Dario Šarić,F-C,6-10,225,"April 8, 1994",hr,5,
,Deandre Ayton,C,6-11,250,"July 23, 1998",bs,3,Arizona
,Chandler Hutchison (TW),G,6-6,210,"April 26, 1996",us,3,Boise State
,Chris Paul,G,6-0,175,"May 6, 1985",us,16,Wake Forest
,Mikal Bridges,G,6-6,209,"August 30, 1996",us,3,Villanova
,Cameron Payne,G,6-1,183,"August 8, 1994",us,6,Murray State
,Cameron Johnson,F,6-8,210,"March 3, 1996",us,2,"Pitt, UNC"
,Abdel Nader,F,6-5,225,"September 25, 1993",eg,4,"Northern Illinois, Iowa State"
,Jevon Carter,G,6-1,200,"September 14, 1995",us,3,West Virginia
,Elfrid Payton,G,6-3,195,"February 22, 1994",us,7,Louisiana
,Jalen Smith,F,6-10,215,"March 16, 2000",us,1,Maryland
