No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Tony Snell,G-F,6-6,213,"November 10, 1991",us,8,New Mexico
,Nassir Little,F,6-5,220,"February 11, 2000",us,2,UNC
,Damian Lillard,G,6-2,195,"July 15, 1990",us,9,Weber State
,Greg Brown III,F,6-9,205,"September 1, 2001",us,R,Texas
,CJ Elleby,F,6-6,200,"June 16, 2000",us,1,Washington State
,CJ McCollum,G,6-3,190,"September 19, 1991",us,8,Lehigh
,Dennis Smith Jr.,G,6-2,205,"November 25, 1997",us,4,NC State
,Trendon Watford (TW),F,6-9,240,"November 9, 2000",us,R,LSU
,Robert Covington,F-C,6-7,209,"December 14, 1990",us,8,Tennessee State
,Marquese Chriss,F,6-9,240,"July 2, 1997",us,5,Washington
,Norman Powell,G,6-3,215,"May 25, 1993",us,6,UCLA
,Larry Nance Jr.,F-C,6-7,245,"January 1, 1993",us,6,Wyoming
,Patrick Patterson,F,6-8,235,"March 14, 1989",us,11,Kentucky
,Ben McLemore,G,6-3,195,"February 11, 1993",us,8,Kansas
,Anfernee Simons,G,6-3,181,"June 8, 1999",us,3,
,Cody Zeller,C-F,6-11,240,"October 5, 1992",us,8,Indiana
,Jusuf Nurkić,C,6-11,290,"August 23, 1994",ba,7,
