,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2015-16,22.0,Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league),Did Not Play (other pro league—G-league)
1,2016-17,23.0,TOT,NBA,PG,14,0,13.4,2.4,4.7,.500,0.8,1.9,.423,1.6,2.9,.550,.583,0.1,0.4,.400,0.1,0.4,0.5,1.9,0.3,0.0,0.9,0.9,5.6
2,2016-17,23.0,DAL,NBA,PG,5,0,15.4,2.2,5.0,.440,1.0,2.8,.357,1.2,2.2,.545,.540,0.0,0.4,.000,0.0,0.6,0.6,2.4,0.2,0.0,1.6,1.2,5.4
3,2016-17,23.0,NOP,NBA,PG,9,0,12.3,2.4,4.6,.537,0.7,1.3,.500,1.8,3.2,.552,.610,0.2,0.3,.667,0.1,0.3,0.4,1.6,0.3,0.0,0.6,0.8,5.8
4,2017-18,24.0,GSW,NBA,PG,33,18,22.4,3.7,7.6,.484,1.4,3.2,.442,2.3,4.5,.514,.575,0.7,0.8,.880,0.3,2.2,2.5,2.7,0.4,0.0,1.0,1.8,9.5
5,2018-19,25.0,GSW,NBA,PG,74,10,14.3,2.8,5.9,.465,1.1,2.7,.405,1.7,3.2,.515,.557,0.3,0.4,.769,0.3,1.8,2.1,1.6,0.3,0.0,0.7,1.2,6.9
6,2019-20,26.0,LAL,NBA,PG,44,1,11.5,2.1,4.9,.425,0.7,1.9,.365,1.4,2.9,.465,.498,0.3,0.3,.786,0.3,0.9,1.2,1.1,0.3,0.0,0.8,0.6,5.1
7,2020-21,27.0,TOT,NBA,PG,23,0,6.8,1.3,3.0,.426,0.5,1.1,.423,0.8,1.8,.429,.507,0.3,0.3,.875,0.1,0.7,0.7,0.8,0.2,0.0,0.3,0.4,3.3
8,2020-21,27.0,LAL,NBA,PG,16,0,3.9,0.8,1.6,.462,0.3,0.8,.385,0.4,0.8,.538,.558,0.3,0.3,.800,0.0,0.3,0.3,0.3,0.1,0.1,0.2,0.1,2.1
9,2020-21,27.0,CLE,NBA,PG,7,0,13.6,2.4,6.0,.405,0.9,1.9,.462,1.6,4.1,.379,.476,0.4,0.4,1.000,0.3,1.4,1.7,1.9,0.4,0.0,0.6,1.1,6.1
10,Career,,,NBA,,188,29,14.1,2.5,5.5,.461,1.0,2.3,.408,1.6,3.2,.500,.548,0.3,0.4,.795,0.2,1.4,1.7,1.6,0.3,0.0,0.7,1.1,6.4
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2 seasons,,GSW,NBA,,107,28,16.8,3.0,6.5,.472,1.2,2.8,.418,1.9,3.6,.514,.564,0.4,0.5,.824,0.3,1.9,2.2,1.9,0.3,0.0,0.8,1.4,7.7
13,2 seasons,,LAL,NBA,,60,1,9.5,1.7,4.0,.429,0.6,1.6,.367,1.1,2.4,.472,.504,0.3,0.3,.789,0.2,0.8,0.9,0.9,0.2,0.1,0.6,0.5,4.3
14,1 season,,NOP,NBA,,9,0,12.3,2.4,4.6,.537,0.7,1.3,.500,1.8,3.2,.552,.610,0.2,0.3,.667,0.1,0.3,0.4,1.6,0.3,0.0,0.6,0.8,5.8
15,1 season,,CLE,NBA,,7,0,13.6,2.4,6.0,.405,0.9,1.9,.462,1.6,4.1,.379,.476,0.4,0.4,1.000,0.3,1.4,1.7,1.9,0.4,0.0,0.6,1.1,6.1
16,1 season,,DAL,NBA,,5,0,15.4,2.2,5.0,.440,1.0,2.8,.357,1.2,2.2,.545,.540,0.0,0.4,.000,0.0,0.6,0.6,2.4,0.2,0.0,1.6,1.2,5.4
