,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,2016-17,23.0,TOT,NBA,PG,14.0,188.0,11.8,0.579,0.394,0.076,0.6,3.6,2.0,22.8,1.1,0.0,16.0,19.6,0.1,0.1,0.2,0.047,-1.6,-1.5,-3.1,-0.1
1,2016-17,23.0,DAL,NBA,PG,5.0,77.0,6.9,0.522,0.56,0.08,0.0,4.8,2.3,25.7,0.7,0.0,23.6,20.7,-0.1,0.0,-0.1,-0.046,-3.8,-2.4,-6.2,-0.1
2,2016-17,23.0,NOP,NBA,PG,9.0,111.0,15.3,0.614,0.293,0.073,0.9,2.9,1.9,20.7,1.3,0.0,10.6,18.9,0.2,0.1,0.3,0.11,0.0,-1.0,-1.0,0.0
3,2017-18,24.0,GSW,NBA,PG,33.0,740.0,12.8,0.593,0.413,0.099,1.6,10.2,6.2,16.6,0.8,0.1,10.8,17.5,1.1,0.4,1.6,0.101,-0.1,-1.5,-1.6,0.1
4,2018-19,25.0,GSW,NBA,PG,74.0,1059.0,13.1,0.565,0.456,0.059,2.3,13.0,7.9,15.2,0.9,0.2,10.0,20.2,1.0,0.8,1.8,0.082,-0.5,-1.6,-2.1,0.0
5,2019-20,26.0,LAL,NBA,PG,44.0,508.0,10.0,0.509,0.397,0.065,2.4,8.5,5.5,13.8,1.1,0.4,13.0,21.0,-0.2,0.5,0.3,0.03,-2.3,-1.4,-3.8,-0.2
6,2020-21,27.0,TOT,NBA,PG,23.0,157.0,12.7,0.531,0.382,0.118,1.4,10.9,6.1,18.3,1.3,0.6,8.9,21.8,0.1,0.1,0.2,0.061,-1.2,-0.4,-1.5,0.0
7,2020-21,27.0,LAL,NBA,PG,16.0,62.0,13.8,0.585,0.5,0.192,0.0,9.0,4.5,12.5,0.8,1.4,9.6,21.9,0.1,0.1,0.1,0.098,-0.3,-0.8,-1.1,0.0
8,2020-21,27.0,CLE,NBA,PG,7.0,95.0,12.0,0.496,0.31,0.071,2.3,12.1,7.1,22.1,1.6,0.0,8.5,21.7,0.0,0.1,0.1,0.037,-1.7,-0.1,-1.8,0.0
9,Career,,,NBA,,188.0,2652.0,12.3,0.559,0.424,0.075,2.0,10.6,6.4,16.1,0.9,0.2,11.2,19.7,2.2,1.9,4.1,0.073,-0.8,-1.5,-2.3,-0.2
10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2 seasons,,GSW,NBA,,107.0,1799.0,13.0,0.575,0.44,0.074,2.0,11.9,7.2,15.8,0.9,0.2,10.3,19.1,2.2,1.2,3.4,0.09,-0.3,-1.6,-1.9,0.1
12,2 seasons,,LAL,NBA,,60.0,570.0,10.4,0.517,0.408,0.079,2.1,8.6,5.4,13.6,1.1,0.5,12.7,21.1,-0.1,0.6,0.4,0.037,-2.1,-1.3,-3.5,-0.2
13,1 season,,NOP,NBA,,9.0,111.0,15.3,0.614,0.293,0.073,0.9,2.9,1.9,20.7,1.3,0.0,10.6,18.9,0.2,0.1,0.3,0.11,0.0,-1.0,-1.0,0.0
14,1 season,,CLE,NBA,,7.0,95.0,12.0,0.496,0.31,0.071,2.3,12.1,7.1,22.1,1.6,0.0,8.5,21.7,0.0,0.1,0.1,0.037,-1.7,-0.1,-1.8,0.0
15,1 season,,DAL,NBA,,5.0,77.0,6.9,0.522,0.56,0.08,0.0,4.8,2.3,25.7,0.7,0.0,23.6,20.7,-0.1,0.0,-0.1,-0.046,-3.8,-2.4,-6.2,-0.1
