Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,22.0,LAC,NBA,SF,43.0,0.0,9.2,1.0,2.8,0.355,0.5,1.7,0.301,0.5,1.1,0.438,0.446,0.2,0.2,0.778,0.3,1.0,1.3,0.3,0.2,0.0,0.3,0.6,2.7
2014-15,23.0,TOT,NBA,SF,36.0,2.0,9.4,0.7,1.9,0.343,0.4,1.3,0.326,0.3,0.7,0.375,0.45,0.2,0.3,0.667,0.0,1.4,1.4,0.2,0.3,0.1,0.2,0.5,1.9
2014-15,23.0,LAC,NBA,SF,25.0,2.0,10.5,0.9,2.2,0.426,0.6,1.6,0.385,0.3,0.6,0.533,0.565,0.2,0.2,0.8,0.0,1.6,1.6,0.2,0.4,0.1,0.2,0.7,2.6
2014-15,23.0,PHO,NBA,SF,11.0,0.0,6.8,0.1,1.5,0.063,0.0,0.6,0.0,0.1,0.8,0.111,0.063,0.2,0.4,0.5,0.1,0.8,0.9,0.2,0.1,0.2,0.2,0.2,0.4
2015-16,24.0,DET,NBA,SF,37.0,0.0,11.6,1.2,2.6,0.439,0.6,1.4,0.415,0.6,1.2,0.467,0.551,0.4,0.4,0.933,0.4,1.5,1.8,0.7,0.3,0.1,0.2,0.8,3.3
2016-17,25.0,DET,NBA,SF,31.0,5.0,15.1,1.7,4.1,0.422,0.9,2.4,0.384,0.8,1.8,0.473,0.531,0.2,0.2,0.714,0.4,1.6,2.1,0.9,0.6,0.1,0.3,0.7,4.5
2017-18,26.0,DET,NBA,SF,62.0,52.0,27.9,4.3,8.8,0.489,2.0,4.5,0.445,2.3,4.3,0.536,0.603,0.6,0.8,0.796,0.4,2.0,2.5,1.5,0.8,0.2,0.8,1.1,11.3
2018-19,27.0,TOT,NBA,SG,63.0,60.0,29.8,3.9,9.4,0.412,2.3,6.2,0.377,1.5,3.2,0.483,0.537,1.2,1.3,0.859,0.3,2.4,2.7,2.0,0.6,0.2,1.0,1.7,11.3
2018-19,27.0,DET,NBA,SG,44.0,44.0,30.8,4.1,10.0,0.413,2.6,6.7,0.388,1.5,3.3,0.463,0.542,1.3,1.5,0.875,0.5,2.3,2.8,2.5,0.5,0.1,1.2,1.8,12.1
2018-19,27.0,LAL,NBA,SG,19.0,16.0,27.6,3.3,8.1,0.412,1.8,5.2,0.343,1.5,2.8,0.537,0.523,0.9,1.1,0.81,0.1,2.5,2.6,1.1,0.8,0.4,0.6,1.6,9.3
2019-20,28.0,NYK,NBA,SG,29.0,19.0,23.6,3.1,7.7,0.402,1.3,3.8,0.333,1.8,3.9,0.469,0.484,0.6,0.7,0.81,0.4,1.9,2.3,1.4,0.9,0.1,0.7,1.9,8.1
2020-21,29.0,NYK,NBA,SF,65.0,64.0,30.0,3.8,8.6,0.442,2.5,6.1,0.41,1.3,2.5,0.521,0.587,0.8,0.8,0.909,0.2,3.2,3.4,1.5,0.8,0.2,0.7,2.2,10.9
2021-22,30.0,DAL,NBA,SF,18.0,2.0,22.9,2.1,6.1,0.349,1.2,4.3,0.273,0.9,1.8,0.531,0.445,0.2,0.4,0.571,0.2,2.6,2.8,0.7,0.3,0.1,0.5,1.4,5.6
Career,,,NBA,,384.0,204.0,21.6,2.7,6.4,0.429,1.5,3.9,0.386,1.2,2.5,0.498,0.548,0.6,0.7,0.837,0.3,2.0,2.4,1.2,0.6,0.1,0.6,1.3,7.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,DET,NBA,,174.0,101.0,22.9,3.1,7.0,0.45,1.7,4.0,0.412,1.5,2.9,0.502,0.569,0.7,0.8,0.844,0.4,1.9,2.4,1.5,0.6,0.1,0.7,1.1,8.6
2 seasons,,NYK,NBA,,94.0,83.0,28.0,3.6,8.4,0.431,2.1,5.4,0.393,1.5,2.9,0.5,0.558,0.7,0.8,0.882,0.3,2.8,3.1,1.5,0.8,0.1,0.7,2.1,10.0
2 seasons,,LAC,NBA,,68.0,2.0,9.7,1.0,2.6,0.377,0.5,1.6,0.33,0.4,0.9,0.46,0.483,0.2,0.2,0.786,0.2,1.2,1.4,0.3,0.3,0.0,0.3,0.6,2.6
1 season,,LAL,NBA,,19.0,16.0,27.6,3.3,8.1,0.412,1.8,5.2,0.343,1.5,2.8,0.537,0.523,0.9,1.1,0.81,0.1,2.5,2.6,1.1,0.8,0.4,0.6,1.6,9.3
1 season,,DAL,NBA,,18.0,2.0,22.9,2.1,6.1,0.349,1.2,4.3,0.273,0.9,1.8,0.531,0.445,0.2,0.4,0.571,0.2,2.6,2.8,0.7,0.3,0.1,0.5,1.4,5.6
1 season,,PHO,NBA,,11.0,0.0,6.8,0.1,1.5,0.063,0.0,0.6,0.0,0.1,0.8,0.111,0.063,0.2,0.4,0.5,0.1,0.8,0.9,0.2,0.1,0.2,0.2,0.2,0.4
