,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2015-16,22.0,PHI,NBA,PF,51.0,1.0,13.8,2.2,4.4,0.514,0.2,0.9,0.182,2.1,3.5,0.596,0.532,1.0,1.5,0.689,1.2,1.4,2.6,0.6,0.4,0.8,0.6,1.8,5.6
1,2016-17,23.0,PHI,NBA,C,57.0,17.0,20.9,4.0,7.2,0.558,0.5,1.4,0.351,3.6,5.9,0.606,0.591,1.3,1.8,0.699,1.6,3.8,5.5,1.0,0.7,1.0,1.0,2.4,9.8
2,2017-18,24.0,PHI,NBA,C,48.0,2.0,15.5,2.8,5.0,0.56,0.1,0.6,0.129,2.7,4.4,0.624,0.568,0.8,1.2,0.661,1.2,3.2,4.4,1.3,0.4,0.6,0.5,2.0,6.5
3,2018-19,25.0,PHO,NBA,C,70.0,4.0,16.9,3.2,5.2,0.608,0.0,0.0,,3.2,5.2,0.608,0.608,1.8,2.5,0.731,1.6,3.1,4.7,0.9,0.6,1.1,0.7,2.8,8.2
4,2019-20,26.0,SAC,NBA,C,44.0,38.0,28.2,5.1,7.8,0.648,0.0,0.0,,5.1,7.8,0.648,0.648,2.1,2.7,0.788,2.9,5.3,8.1,1.0,0.9,1.3,1.2,3.8,12.3
5,2020-21,27.0,SAC,NBA,C,61.0,61.0,29.2,6.0,9.4,0.637,0.0,0.2,0.182,6.0,9.2,0.645,0.638,2.2,2.8,0.794,2.4,5.9,8.3,1.7,0.6,1.6,1.2,3.5,14.2
6,2021-22,28.0,SAC,NBA,C,3.0,3.0,26.3,6.3,8.3,0.76,0.3,0.3,1.0,6.0,8.0,0.75,0.78,1.3,1.7,0.8,3.0,7.7,10.7,1.7,0.7,2.3,1.0,4.3,14.3
7,Career,,,NBA,,334.0,126.0,20.7,3.9,6.5,0.599,0.1,0.5,0.256,3.8,6.0,0.627,0.609,1.6,2.1,0.742,1.8,3.8,5.6,1.1,0.6,1.1,0.9,2.7,9.5
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3 seasons,,PHI,NBA,,156.0,20.0,16.9,3.1,5.6,0.547,0.3,1.0,0.257,2.8,4.6,0.609,0.57,1.0,1.5,0.687,1.4,2.8,4.2,1.0,0.5,0.8,0.7,2.1,7.4
10,3 seasons,,SAC,NBA,,108.0,102.0,28.7,5.6,8.7,0.644,0.0,0.1,0.25,5.6,8.6,0.649,0.646,2.1,2.7,0.792,2.6,5.7,8.3,1.4,0.8,1.5,1.2,3.7,13.4
11,1 season,,PHO,NBA,,70.0,4.0,16.9,3.2,5.2,0.608,0.0,0.0,,3.2,5.2,0.608,0.608,1.8,2.5,0.731,1.6,3.1,4.7,0.9,0.6,1.1,0.7,2.8,8.2
