,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,1968-69,24.0,SFW,NBA,PG,75.0,1472.0,12.9,0.465,,0.25,,,,24.1,,,,,0.6,2.0,2.6,0.086,,,,
1,1969-70,25.0,SFW,NBA,PG,80.0,2435.0,14.4,0.494,,0.322,,,,24.5,,,,,1.8,2.6,4.4,0.086,,,,
2,1970-71,26.0,SFW,NBA,PG,82.0,2809.0,14.6,0.515,,0.401,,,3.8,23.6,,,,,3.9,2.2,6.1,0.104,,,,
3,1971-72,27.0,GSW,NBA,PG,80.0,1932.0,13.9,0.542,,0.381,,,3.4,21.8,,,,,3.4,2.4,5.8,0.145,,,,
4,1972-73,28.0,GSW,NBA,PG,73.0,1016.0,12.2,0.488,,0.203,,,3.6,14.7,,,,,0.8,1.1,1.9,0.088,,,,
5,1973-74,29.0,MIL,NBA,PG,71.0,1130.0,13.1,0.525,,0.173,1.8,4.2,3.1,17.5,2.0,0.1,,,1.4,1.2,2.6,0.111,-1.2,0.2,-1.0,0.3
6,1974-75,30.0,MIL,NBA,PG,46.0,526.0,9.2,0.416,,0.176,2.1,6.3,4.3,17.9,2.1,0.2,,,-0.4,0.4,0.0,0.001,-4.3,-0.1,-4.3,-0.3
7,1975-76,31.0,LAL,NBA,PG,9.0,158.0,9.2,0.452,,0.302,1.3,10.0,5.8,16.8,0.8,0.0,,,0.0,0.1,0.1,0.023,-3.1,-0.6,-3.7,-0.1
8,Career,,,NBA,,516.0,11478.0,13.5,0.501,,0.308,1.8,5.3,3.7,21.8,1.9,0.1,,,11.6,12.0,23.5,0.098,-2.3,0.1,-2.2,-0.1
9,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5 seasons,,"SFW,GSW",NBA,,390.0,9664.0,13.9,0.503,,0.329,,,3.6,22.6,,,,,10.5,10.3,20.8,0.103,,,,
11,2 seasons,,MIL,NBA,,117.0,1656.0,11.8,0.493,,0.174,1.9,4.9,3.5,17.6,2.0,0.1,,,1.1,1.6,2.6,0.076,-2.2,0.1,-2.0,0.0
12,1 season,,LAL,NBA,,9.0,158.0,9.2,0.452,,0.302,1.3,10.0,5.8,16.8,0.8,0.0,,,0.0,0.1,0.1,0.023,-3.1,-0.6,-3.7,-0.1
