Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,25.0,MIA,NBA,SG,78.0,65.0,25.2,2.4,5.9,0.413,0.9,2.8,0.332,1.5,3.1,0.488,0.492,0.6,0.9,0.62,1.2,2.1,3.3,1.6,0.6,0.2,0.7,1.8,6.4
2017-18,26.0,MIA,NBA,SG,18.0,2.0,16.6,2.0,4.1,0.493,0.8,1.9,0.429,1.2,2.1,0.553,0.596,0.2,0.4,0.5,0.6,1.2,1.8,0.9,0.4,0.2,0.2,1.2,5.1
2018-19,27.0,MIA,NBA,SG,66.0,45.0,23.5,2.8,7.0,0.403,1.2,3.4,0.351,1.6,3.6,0.453,0.489,0.8,1.1,0.722,0.9,2.7,3.6,1.7,0.5,0.2,1.0,1.7,7.6
2019-20,28.0,LAC,NBA,SG,56.0,4.0,15.6,1.3,3.2,0.398,0.4,1.6,0.27,0.9,1.6,0.522,0.464,0.3,0.6,0.559,0.5,2.2,2.7,0.6,0.5,0.1,0.4,1.3,3.3
2020-21,29.0,DET,NBA,SG,16.0,2.0,12.1,2.3,4.4,0.529,0.7,1.5,0.458,1.6,2.9,0.565,0.607,0.4,0.5,0.75,0.5,0.9,1.4,1.0,0.5,0.1,0.4,0.8,5.7
2021-22,30.0,DET,NBA,SG,5.0,0.0,4.6,0.2,1.0,0.2,0.2,0.6,0.333,0.0,0.4,0.0,0.3,0.0,0.0,,0.0,0.6,0.6,0.4,0.0,0.2,0.0,0.2,0.6
Career,,,NBA,,239.0,118.0,20.5,2.2,5.2,0.418,0.8,2.5,0.341,1.3,2.7,0.488,0.499,0.5,0.8,0.648,0.8,2.1,2.9,1.3,0.5,0.2,0.6,1.5,5.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIA,NBA,,162.0,112.0,23.5,2.5,6.1,0.414,1.0,3.0,0.348,1.5,3.2,0.477,0.498,0.6,0.9,0.662,1.0,2.2,3.3,1.6,0.6,0.2,0.8,1.7,6.7
1 season,,LAC,NBA,,56.0,4.0,15.6,1.3,3.2,0.398,0.4,1.6,0.27,0.9,1.6,0.522,0.464,0.3,0.6,0.559,0.5,2.2,2.7,0.6,0.5,0.1,0.4,1.3,3.3
2 seasons,,DET,NBA,,21.0,2.0,10.3,1.8,3.6,0.507,0.6,1.3,0.444,1.2,2.3,0.542,0.587,0.3,0.4,0.75,0.4,0.8,1.2,0.9,0.4,0.1,0.3,0.6,4.5
