No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Doug McDermott,F,6-7,225,"January 3, 1992",us,7,Creighton
,Drew Eubanks,F,6-9,245,"February 1, 1997",us,3,Oregon State
,Dejounte Murray,G,6-4,180,"September 19, 1996",us,4,Washington
,Zach Collins,C-F,6-11,250,"November 19, 1997",us,3,Gonzaga
,Jakob Poeltl,C,7-1,245,"October 15, 1995",at,5,Utah
,Lonnie Walker,G,6-4,204,"December 14, 1998",us,3,Miami (FL)
,Joshua Primo,G,6-6,190,"December 24, 2002",ca,R,Alabama
,Tre Jones,G,6-1,185,"January 8, 2000",us,1,Duke
,Luka Šamanić,F,6-10,227,"January 9, 2000",hr,2,
,Jock Landale,C,6-11,256,"October 25, 1995",au,R,Saint Mary's
,Devin Vassell,G-F,6-5,200,"August 23, 2000",us,1,Florida State
,Keldon Johnson,G,6-5,220,"October 11, 1999",us,2,Kentucky
,Bryn Forbes,G,6-2,205,"July 23, 1993",us,5,Michigan State
,DaQuan Jeffries,G-F,6-5,230,"August 30, 1997",us,2,"Oral Roberts, Tulsa"
,Al-Farouq Aminu,F,6-8,220,"September 21, 1990",us,11,Wake Forest
,Joe Wieskamp (TW),G,6-6,212,"August 23, 1999",us,R,Iowa
,Derrick White,G,6-4,190,"July 2, 1994",us,4,"Colorado-Colorado Springs, Colorado"
,Thaddeus Young,F,6-8,235,"June 21, 1988",us,14,Georgia Tech
,Keita Bates-Diop,F,6-8,229,"January 23, 1996",us,3,Ohio State
