Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,22.0,MIL,NBA,SG,54.0,4.0,14.4,1.5,3.8,0.4,0.6,1.7,0.352,0.9,2.1,0.439,0.478,0.4,0.4,0.875,0.5,2.1,2.6,0.5,0.6,0.2,0.5,1.5,4.0
2018-19,23.0,MIL,NBA,SG,58.0,7.0,17.8,2.5,5.4,0.465,0.9,2.5,0.361,1.6,2.8,0.558,0.55,0.5,0.7,0.69,0.5,2.7,3.2,1.4,0.4,0.1,0.8,1.5,6.4
2019-20,24.0,MIL,NBA,SF,52.0,1.0,14.8,1.8,4.9,0.371,0.8,2.6,0.324,1.0,2.3,0.425,0.457,0.6,0.8,0.8,0.6,2.9,3.5,1.0,0.6,0.1,0.8,1.0,5.1
2020-21,25.0,HOU,NBA,SG,51.0,14.0,24.1,2.9,6.6,0.448,1.8,4.2,0.423,1.2,2.4,0.492,0.584,0.5,0.6,0.806,0.7,3.6,4.4,1.4,0.7,0.2,0.8,1.9,8.2
2021-22,26.0,DAL,NBA,SG,6.0,0.0,12.2,0.7,3.7,0.182,0.5,2.8,0.176,0.2,0.8,0.2,0.25,0.3,0.3,1.0,0.7,2.5,3.2,0.8,0.2,0.2,1.0,1.7,2.2
Career,,,NBA,,221.0,26.0,17.6,2.2,5.1,0.421,1.0,2.7,0.368,1.1,2.4,0.483,0.52,0.5,0.6,0.784,0.6,2.8,3.4,1.1,0.6,0.2,0.7,1.5,5.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIL,NBA,,164.0,12.0,15.7,2.0,4.7,0.417,0.8,2.3,0.345,1.2,2.4,0.484,0.5,0.5,0.6,0.774,0.5,2.6,3.1,1.0,0.5,0.2,0.7,1.4,5.2
1 season,,HOU,NBA,,51.0,14.0,24.1,2.9,6.6,0.448,1.8,4.2,0.423,1.2,2.4,0.492,0.584,0.5,0.6,0.806,0.7,3.6,4.4,1.4,0.7,0.2,0.8,1.9,8.2
1 season,,DAL,NBA,,6.0,0.0,12.2,0.7,3.7,0.182,0.5,2.8,0.176,0.2,0.8,0.2,0.25,0.3,0.3,1.0,0.7,2.5,3.2,0.8,0.2,0.2,1.0,1.7,2.2
