Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,20.0,OKC,NBA,C,81.0,20.0,14.8,1.1,2.3,0.503,0.0,0.0,,1.1,2.3,0.503,0.503,1.0,1.7,0.581,1.8,2.3,4.1,0.5,0.5,0.7,0.9,2.5,3.3
2014-15,21.0,OKC,NBA,C,70.0,67.0,25.3,3.1,5.7,0.544,0.0,0.0,0.0,3.1,5.7,0.547,0.544,1.5,2.9,0.502,2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,7.7
2015-16,22.0,OKC,NBA,C,80.0,80.0,25.2,3.3,5.3,0.613,0.0,0.0,,3.3,5.3,0.613,0.613,1.4,2.5,0.582,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,8.0
2016-17,23.0,OKC,NBA,C,80.0,80.0,29.9,4.7,8.2,0.571,0.0,0.0,0.0,4.7,8.2,0.572,0.571,2.0,3.2,0.611,3.5,4.2,7.7,1.1,1.1,1.0,1.8,2.4,11.3
2017-18,24.0,OKC,NBA,C,76.0,76.0,32.7,5.9,9.4,0.629,0.0,0.0,0.0,5.9,9.3,0.631,0.629,2.1,3.8,0.559,5.1,4.0,9.0,1.2,1.2,1.0,1.7,2.8,13.9
2018-19,25.0,OKC,NBA,C,80.0,80.0,33.4,6.0,10.1,0.595,0.0,0.0,0.0,6.0,10.1,0.596,0.595,1.8,3.7,0.5,4.9,4.6,9.5,1.6,1.5,1.0,1.7,2.6,13.9
2019-20,26.0,OKC,NBA,C,63.0,63.0,26.7,4.5,7.6,0.592,0.0,0.0,0.333,4.5,7.5,0.594,0.593,1.9,3.2,0.582,3.3,6.0,9.3,2.3,0.8,1.1,1.5,1.9,10.9
2020-21,27.0,NOP,NBA,C,58.0,58.0,27.7,3.3,5.3,0.614,0.0,0.1,0.0,3.3,5.3,0.62,0.614,1.0,2.3,0.444,3.7,5.2,8.9,1.9,0.9,0.7,1.3,1.9,7.6
2021-22,28.0,MEM,NBA,C,10.0,10.0,25.0,3.3,6.4,0.516,0.0,0.0,,3.3,6.4,0.516,0.516,1.7,1.8,0.944,3.5,4.7,8.2,2.6,0.7,0.5,1.4,1.6,8.3
Career,,,NBA,,598.0,534.0,26.9,4.0,6.7,0.589,0.0,0.0,0.077,4.0,6.7,0.591,0.59,1.6,2.9,0.552,3.5,4.3,7.7,1.3,0.9,1.0,1.4,2.5,9.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,OKC,NBA,,530.0,466.0,26.8,4.1,6.9,0.589,0.0,0.0,0.1,4.1,6.9,0.59,0.589,1.7,3.0,0.557,3.4,4.2,7.6,1.2,0.9,1.0,1.4,2.6,9.8
1 season,,NOP,NBA,,58.0,58.0,27.7,3.3,5.3,0.614,0.0,0.1,0.0,3.3,5.3,0.62,0.614,1.0,2.3,0.444,3.7,5.2,8.9,1.9,0.9,0.7,1.3,1.9,7.6
1 season,,MEM,NBA,,10.0,10.0,25.0,3.3,6.4,0.516,0.0,0.0,,3.3,6.4,0.516,0.516,1.7,1.8,0.944,3.5,4.7,8.2,2.6,0.7,0.5,1.4,1.6,8.3
