Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,21.0,TOT,NBA,SF,42.0,0.0,10.5,1.1,3.3,0.329,0.7,2.1,0.326,0.4,1.2,0.333,0.432,0.3,0.5,0.6,0.2,0.6,0.9,0.9,0.3,0.0,0.5,0.6,3.2
2018-19,21.0,LAL,NBA,SF,39.0,0.0,10.8,1.1,3.4,0.333,0.7,2.2,0.318,0.4,1.2,0.362,0.436,0.3,0.5,0.6,0.2,0.7,0.9,0.8,0.3,0.0,0.5,0.6,3.3
2018-19,21.0,DET,NBA,SF,3.0,0.0,6.7,0.7,2.7,0.25,0.7,1.3,0.5,0.0,1.3,0.0,0.375,0.0,0.0,,0.3,0.3,0.7,1.3,0.3,0.0,0.3,0.0,2.0
2019-20,22.0,DET,NBA,SF,56.0,27.0,22.6,3.0,7.2,0.41,2.1,5.1,0.404,0.9,2.1,0.425,0.552,1.0,1.3,0.814,0.3,1.6,1.9,1.9,0.7,0.1,1.1,1.6,9.0
2020-21,23.0,TOT,NBA,"SF,SG",66.0,14.0,20.1,3.2,7.7,0.411,1.6,4.8,0.334,1.6,2.9,0.536,0.515,0.6,0.8,0.76,0.4,2.1,2.5,1.7,0.8,0.2,1.3,1.0,8.5
2020-21,23.0,DET,NBA,SF,36.0,5.0,17.6,2.3,6.2,0.377,1.6,4.8,0.333,0.8,1.4,0.519,0.504,0.7,0.8,0.8,0.3,1.8,2.1,1.6,0.8,0.2,1.1,0.9,6.9
2020-21,23.0,OKC,NBA,SG,30.0,9.0,23.0,4.1,9.4,0.438,1.6,4.8,0.336,2.5,4.7,0.543,0.523,0.5,0.7,0.7,0.4,2.5,3.0,1.8,0.8,0.2,1.6,1.0,10.3
2021-22,24.0,TOR,NBA,SF,13.0,2.0,18.8,2.7,5.4,0.5,1.2,2.9,0.395,1.5,2.5,0.625,0.607,1.3,1.5,0.895,0.8,2.0,2.8,1.2,0.9,0.0,1.0,1.5,7.8
Career,,,NBA,,177.0,43.0,18.5,2.6,6.3,0.406,1.5,4.1,0.364,1.1,2.2,0.484,0.524,0.7,0.9,0.78,0.3,1.6,1.9,1.5,0.7,0.1,1.0,1.1,7.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DET,NBA,,95.0,32.0,20.2,2.7,6.7,0.396,1.8,4.8,0.378,0.8,1.9,0.443,0.533,0.9,1.1,0.81,0.3,1.6,1.9,1.8,0.7,0.1,1.1,1.3,8.0
1 season,,LAL,NBA,,39.0,0.0,10.8,1.1,3.4,0.333,0.7,2.2,0.318,0.4,1.2,0.362,0.436,0.3,0.5,0.6,0.2,0.7,0.9,0.8,0.3,0.0,0.5,0.6,3.3
1 season,,OKC,NBA,,30.0,9.0,23.0,4.1,9.4,0.438,1.6,4.8,0.336,2.5,4.7,0.543,0.523,0.5,0.7,0.7,0.4,2.5,3.0,1.8,0.8,0.2,1.6,1.0,10.3
1 season,,TOR,NBA,,13.0,2.0,18.8,2.7,5.4,0.5,1.2,2.9,0.395,1.5,2.5,0.625,0.607,1.3,1.5,0.895,0.8,2.0,2.8,1.2,0.9,0.0,1.0,1.5,7.8
