Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015-16,23.0,PHI,NBA,PG,81.0,17.0,19.8,2.7,5.7,0.47,0.4,1.1,0.348,2.3,4.6,0.499,0.503,0.3,0.5,0.634,0.5,2.6,3.1,4.5,1.2,0.1,1.7,1.4,6.1
2016-17,24.0,PHI,NBA,PG,81.0,51.0,26.3,2.9,6.3,0.461,0.1,0.7,0.2,2.8,5.6,0.492,0.472,0.9,1.1,0.811,0.5,2.6,3.1,6.6,1.7,0.1,2.0,1.7,6.9
2017-18,25.0,PHI,NBA,PG,76.0,1.0,22.4,2.8,5.5,0.499,0.4,0.8,0.435,2.4,4.7,0.51,0.531,0.4,0.5,0.795,0.5,2.5,3.0,4.0,1.2,0.2,1.5,1.6,6.3
2018-19,26.0,PHI,NBA,PG,76.0,3.0,19.3,2.9,5.5,0.525,0.2,0.6,0.333,2.7,5.0,0.546,0.542,0.4,0.5,0.784,0.4,1.9,2.3,3.4,1.0,0.2,1.2,1.4,6.4
2019-20,27.0,IND,NBA,PG,71.0,3.0,18.7,3.0,5.8,0.516,0.1,0.2,0.294,2.9,5.5,0.525,0.522,0.5,0.6,0.833,0.5,2.1,2.7,5.0,0.8,0.2,1.4,1.0,6.5
2020-21,28.0,IND,NBA,PG,69.0,3.0,26.0,4.0,7.1,0.559,0.2,0.7,0.313,3.8,6.4,0.586,0.574,0.5,0.7,0.688,0.8,2.9,3.7,6.6,1.9,0.3,2.0,1.6,8.6
2021-22,29.0,IND,NBA,PG,16.0,5.0,26.1,4.4,8.6,0.514,0.4,1.3,0.333,4.0,7.3,0.547,0.54,0.3,0.4,0.571,0.6,2.8,3.4,5.3,0.9,0.4,1.4,2.0,9.6
Career,,,NBA,,470.0,83.0,22.2,3.1,6.1,0.505,0.2,0.7,0.329,2.8,5.4,0.528,0.524,0.5,0.6,0.76,0.5,2.4,3.0,5.0,1.3,0.2,1.6,1.5,6.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,PHI,NBA,,314.0,72.0,22.0,2.8,5.8,0.487,0.3,0.8,0.335,2.6,5.0,0.511,0.51,0.5,0.7,0.768,0.5,2.4,2.9,4.7,1.3,0.2,1.6,1.5,6.4
3 seasons,,IND,NBA,,156.0,11.0,22.7,3.6,6.7,0.536,0.2,0.6,0.314,3.4,6.1,0.556,0.549,0.5,0.6,0.742,0.7,2.5,3.2,5.7,1.3,0.3,1.6,1.4,7.8
