Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,22.0,ATL,NBA,SF,59.0,981.0,9.8,0.513,0.358,0.33,2.8,14.6,8.8,8.4,2.2,2.4,15.7,17.2,-0.4,1.5,1.1,0.054,-3.5,1.7,-1.8,0.0
2017-18,23.0,ATL,NBA,SF,82.0,2464.0,12.8,0.549,0.469,0.185,2.3,15.3,8.8,13.9,1.7,1.5,15.3,22.1,0.0,2.0,2.0,0.038,-0.5,-0.6,-1.1,0.6
2018-19,24.0,ATL,NBA,SF,55.0,1552.0,11.9,0.575,0.53,0.195,1.5,12.3,6.7,11.1,1.6,1.1,13.4,19.5,0.8,0.7,1.5,0.047,-1.0,-1.0,-2.0,0.0
2019-20,25.0,BRK,NBA,PF,64.0,1857.0,9.1,0.497,0.583,0.12,2.8,18.1,10.6,9.2,1.5,1.1,14.0,20.4,-1.7,2.3,0.6,0.014,-2.8,-0.1,-2.9,-0.4
2020-21,26.0,TOT,NBA,PF,41.0,905.0,12.1,0.54,0.474,0.232,2.3,15.3,8.8,12.8,1.5,2.3,11.5,19.6,0.2,0.8,1.0,0.052,-1.2,-0.8,-2.0,0.0
2020-21,26.0,BRK,NBA,PF,12.0,218.0,11.7,0.565,0.5,0.365,1.1,15.4,8.6,4.3,1.8,3.2,11.4,19.4,0.0,0.2,0.3,0.062,-2.7,-0.2,-2.9,0.0
2020-21,26.0,CLE,NBA,PF,29.0,687.0,12.2,0.532,0.466,0.194,2.7,15.2,8.8,15.5,1.4,1.9,11.6,19.7,0.2,0.5,0.7,0.049,-0.8,-0.9,-1.7,0.0
2021-22,27.0,MIN,NBA,PF,10.0,132.0,1.2,0.325,0.686,0.229,3.7,12.1,7.7,7.2,1.1,0.0,13.5,13.9,-0.3,0.1,-0.2,-0.067,-7.3,-2.6,-9.9,-0.3
Career,,,NBA,,311.0,7891.0,11.1,0.534,0.502,0.191,2.3,15.2,8.8,11.3,1.6,1.5,14.2,20.2,-1.4,7.3,6.0,0.036,-1.7,-0.3,-2.0,-0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,ATL,NBA,,196.0,4997.0,12.0,0.552,0.471,0.21,2.1,14.2,8.2,11.9,1.7,1.5,14.8,20.3,0.4,4.2,4.6,0.044,-1.3,-0.3,-1.5,0.6
2 seasons,,BRK,NBA,,76.0,2075.0,9.4,0.503,0.576,0.143,2.7,17.8,10.4,8.6,1.5,1.3,13.8,20.3,-1.7,2.5,0.8,0.019,-2.8,-0.1,-2.9,-0.5
1 season,,CLE,NBA,,29.0,687.0,12.2,0.532,0.466,0.194,2.7,15.2,8.8,15.5,1.4,1.9,11.6,19.7,0.2,0.5,0.7,0.049,-0.8,-0.9,-1.7,0.0
1 season,,MIN,NBA,,10.0,132.0,1.2,0.325,0.686,0.229,3.7,12.1,7.7,7.2,1.1,0.0,13.5,13.9,-0.3,0.1,-0.2,-0.067,-7.3,-2.6,-9.9,-0.3
