Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,25.0,WAS,NBA,SG,57.0,3.0,12.6,1.1,2.6,0.415,0.2,0.6,0.243,0.9,1.9,0.473,0.446,0.4,0.6,0.697,0.4,1.0,1.5,1.6,0.5,0.1,0.7,1.1,2.7
2017-18,26.0,WAS,NBA,SG,73.0,30.0,22.5,2.8,5.3,0.523,0.6,1.4,0.465,2.1,3.9,0.544,0.585,1.0,1.3,0.781,1.0,2.2,3.2,3.9,0.7,0.2,1.1,1.8,7.2
2018-19,27.0,WAS,NBA,PG,80.0,54.0,27.1,3.2,6.6,0.485,0.8,2.0,0.395,2.4,4.6,0.524,0.545,1.6,2.0,0.819,1.0,2.5,3.5,5.0,1.0,0.2,1.5,2.2,8.9
2019-20,28.0,CHI,NBA,SG,65.0,64.0,28.9,3.6,8.5,0.43,1.0,3.1,0.322,2.7,5.4,0.491,0.488,1.6,1.9,0.876,1.2,2.7,3.9,5.4,1.2,0.1,2.0,2.1,9.9
2020-21,29.0,CHI,NBA,SG,58.0,18.0,22.5,2.9,5.7,0.514,0.7,2.0,0.356,2.2,3.6,0.602,0.578,1.2,1.4,0.848,0.5,1.9,2.4,4.7,0.7,0.2,1.7,1.5,7.7
2021-22,30.0,NOP,NBA,SG,7.0,0.0,14.7,1.0,3.3,0.304,0.1,0.7,0.2,0.9,2.6,0.333,0.326,0.4,0.6,0.75,0.1,1.4,1.6,1.7,0.6,0.0,0.9,0.7,2.6
Career,,,NBA,,340.0,169.0,23.0,2.7,5.8,0.475,0.7,1.8,0.365,2.1,3.9,0.525,0.532,1.2,1.5,0.822,0.8,2.1,2.9,4.2,0.8,0.2,1.4,1.7,7.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,WAS,NBA,,210.0,87.0,21.6,2.5,5.1,0.489,0.6,1.4,0.4,1.9,3.6,0.524,0.546,1.1,1.4,0.792,0.9,2.0,2.8,3.7,0.8,0.2,1.1,1.7,6.6
2 seasons,,CHI,NBA,,123.0,82.0,25.9,3.3,7.2,0.461,0.9,2.6,0.334,2.4,4.6,0.533,0.522,1.4,1.6,0.865,0.9,2.4,3.2,5.1,1.0,0.2,1.8,1.8,8.9
1 season,,NOP,NBA,,7.0,0.0,14.7,1.0,3.3,0.304,0.1,0.7,0.2,0.9,2.6,0.333,0.326,0.4,0.6,0.75,0.1,1.4,1.6,1.7,0.6,0.0,0.9,0.7,2.6
