Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2013-14,22.0,CHI,NBA,SG,77.0,1231.0,8.0,0.489,0.53,0.122,1.8,9.6,5.7,9.1,1.3,0.9,11.1,14.9,-0.1,1.7,1.6,0.063,-3.1,0.5,-2.6,-0.2
2014-15,23.0,CHI,NBA,SF,72.0,1412.0,10.2,0.55,0.531,0.148,2.5,10.9,6.8,6.8,1.2,0.6,10.8,14.1,1.2,1.2,2.4,0.082,-1.3,-0.1,-1.4,0.2
2015-16,24.0,CHI,NBA,SF,64.0,1301.0,6.4,0.478,0.457,0.097,1.6,14.3,8.1,6.9,0.6,1.0,12.8,13.7,-0.5,1.0,0.4,0.016,-3.5,-0.5,-4.0,-0.6
2016-17,25.0,MIL,NBA,SG,80.0,2336.0,9.7,0.603,0.656,0.107,1.1,11.1,6.2,5.9,1.2,0.5,8.8,12.1,2.1,1.3,3.4,0.071,-1.0,-0.7,-1.7,0.2
2017-18,26.0,MIL,NBA,SG,75.0,2053.0,8.5,0.578,0.631,0.113,0.5,7.5,4.0,6.5,1.1,1.2,7.5,10.6,1.6,0.7,2.4,0.056,-1.5,-0.8,-2.3,-0.1
2018-19,27.0,MIL,NBA,SF,74.0,1304.0,10.7,0.585,0.565,0.116,2.4,9.4,6.1,6.7,0.9,1.2,5.7,12.9,1.6,1.6,3.2,0.117,-1.0,0.3,-0.7,0.4
2019-20,28.0,DET,NBA,SF,59.0,1641.0,9.7,0.598,0.665,0.084,0.6,7.1,3.8,10.9,1.0,0.8,7.3,11.4,2.1,0.5,2.6,0.076,-1.2,-0.6,-1.8,0.1
2020-21,29.0,ATL,NBA,SG,47.0,992.0,9.5,0.708,0.637,0.064,2.0,10.2,6.2,7.9,0.6,1.0,10.7,8.6,1.6,0.5,2.0,0.099,-0.5,-0.4,-0.9,0.3
2021-22,30.0,POR,NBA,SG,4.0,30.0,5.5,0.6,1.0,0.0,0.0,7.0,3.5,4.3,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.061,-3.5,-2.4,-5.8,0.0
Career,,,NBA,,552.0,12300.0,9.1,0.568,0.589,0.109,1.4,9.9,5.7,7.4,1.0,0.9,9.2,12.2,9.6,8.5,18.2,0.071,-1.6,-0.4,-1.9,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIL,NBA,,229.0,5693.0,9.5,0.59,0.623,0.112,1.2,9.4,5.4,6.3,1.1,0.9,7.6,11.8,5.4,3.6,9.0,0.076,-1.2,-0.5,-1.7,0.5
3 seasons,,CHI,NBA,,213.0,3944.0,8.2,0.507,0.507,0.123,2.0,11.6,6.9,7.6,1.0,0.8,11.5,14.2,0.6,3.9,4.5,0.054,-2.6,0.0,-2.6,-0.6
1 season,,DET,NBA,,59.0,1641.0,9.7,0.598,0.665,0.084,0.6,7.1,3.8,10.9,1.0,0.8,7.3,11.4,2.1,0.5,2.6,0.076,-1.2,-0.6,-1.8,0.1
1 season,,ATL,NBA,,47.0,992.0,9.5,0.708,0.637,0.064,2.0,10.2,6.2,7.9,0.6,1.0,10.7,8.6,1.6,0.5,2.0,0.099,-0.5,-0.4,-0.9,0.3
1 season,,POR,NBA,,4.0,30.0,5.5,0.6,1.0,0.0,0.0,7.0,3.5,4.3,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.061,-3.5,-2.4,-5.8,0.0
