No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Ishmail Wainright,F,6-6,250,"September 12, 1994",us,R,Baylor
,OG Anunoby,F,6-7,232,"July 17, 1997",gb,4,Indiana
,Pascal Siakam,F,6-9,230,"April 2, 1994",cm,5,New Mexico State
,Justin Champagnie (TW),F,6-6,200,"June 29, 2001",us,R,Pitt
,Yuta Watanabe,F,6-9,215,"October 13, 1994",jp,3,George Washington
,Goran Dragić,G,6-3,190,"May 6, 1986",si,13,
,Sam Dekker,F,6-9,230,"May 6, 1994",us,4,Wisconsin
,Freddie Gillespie,F,6-9,245,"June 14, 1997",us,1,"Carleton College, Baylor"
,Fred VanVleet,G,6-1,197,"February 25, 1994",us,5,Wichita State
,Dalano Banton,G-F,6-9,204,"November 7, 1999",ca,R,Nebraska
,Khem Birch,C-F,6-9,233,"September 28, 1992",ca,4,"Pitt, UNLV"
,Precious Achiuwa,F,6-8,225,"September 19, 1999",ng,1,Memphis
,Sviatoslav Mykhailiuk,G-F,6-7,205,"June 10, 1997",ua,3,Kansas
,David Johnson (TW),G,6-5,210,"February 26, 2001",us,R,Louisville
,Chris Boucher,F,6-9,200,"January 11, 1993",lc,4,Oregon
,Scottie Barnes,G-F,6-9,227,"August 1, 2001",us,R,Florida State
,Malachi Flynn,G,6-1,175,"May 10, 1998",us,1,"Washington State, San Diego State"
