Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,27.0,DEN,NBA,SF,39.0,5.0,16.1,1.6,3.5,0.453,0.4,1.5,0.293,1.2,2.0,0.57,0.515,0.6,0.9,0.629,1.0,2.2,3.3,0.6,0.3,0.4,0.5,1.6,4.2
2018-19,28.0,DEN,NBA,SF,75.0,37.0,20.0,2.1,4.8,0.442,0.8,2.5,0.324,1.3,2.3,0.569,0.526,0.7,0.9,0.7,1.2,2.3,3.5,1.0,0.5,0.6,0.6,2.3,5.7
2019-20,29.0,DEN,NBA,SF,58.0,27.0,18.5,2.1,4.6,0.461,0.8,2.4,0.326,1.4,2.3,0.603,0.545,0.4,0.6,0.611,1.1,2.2,3.3,0.8,0.4,0.6,0.4,2.3,5.4
2020-21,30.0,TOT,NBA,SF,50.0,8.0,16.1,2.2,4.5,0.48,0.8,2.1,0.368,1.4,2.4,0.579,0.566,0.3,0.4,0.773,1.1,2.8,3.9,1.0,0.6,0.5,0.5,1.7,5.5
2020-21,30.0,MIL,NBA,SF,18.0,0.0,11.2,1.0,2.6,0.391,0.4,1.2,0.364,0.6,1.3,0.417,0.478,0.1,0.1,0.5,0.7,1.7,2.4,0.9,0.5,0.4,0.3,1.3,2.5
2020-21,30.0,PHO,NBA,SF,32.0,8.0,18.8,2.8,5.7,0.503,1.0,2.6,0.369,1.9,3.0,0.619,0.588,0.5,0.6,0.8,1.4,3.4,4.8,1.0,0.6,0.6,0.6,1.8,7.2
2021-22,31.0,IND,NBA,SF,22.0,0.0,17.2,2.4,4.6,0.51,0.6,2.1,0.298,1.7,2.5,0.691,0.578,0.8,1.0,0.773,1.4,2.4,3.7,1.0,0.5,0.3,0.6,1.8,6.1
Career,,,NBA,,244.0,77.0,18.0,2.1,4.5,0.462,0.7,2.2,0.328,1.4,2.3,0.591,0.542,0.5,0.8,0.686,1.1,2.4,3.5,0.9,0.5,0.5,0.5,2.0,5.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DEN,NBA,,172.0,69.0,18.6,2.0,4.5,0.451,0.7,2.2,0.32,1.3,2.2,0.581,0.531,0.5,0.8,0.66,1.1,2.3,3.4,0.8,0.4,0.6,0.5,2.2,5.3
1 season,,PHO,NBA,,32.0,8.0,18.8,2.8,5.7,0.503,1.0,2.6,0.369,1.9,3.0,0.619,0.588,0.5,0.6,0.8,1.4,3.4,4.8,1.0,0.6,0.6,0.6,1.8,7.2
1 season,,IND,NBA,,22.0,0.0,17.2,2.4,4.6,0.51,0.6,2.1,0.298,1.7,2.5,0.691,0.578,0.8,1.0,0.773,1.4,2.4,3.7,1.0,0.5,0.3,0.6,1.8,6.1
1 season,,MIL,NBA,,18.0,0.0,11.2,1.0,2.6,0.391,0.4,1.2,0.364,0.6,1.3,0.417,0.478,0.1,0.1,0.5,0.7,1.7,2.4,0.9,0.5,0.4,0.3,1.3,2.5
