Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2013-14,21.0,UTA,NBA,PG,70.0,2262.0,12.6,0.473,0.375,0.126,1.8,9.0,5.3,29.4,1.0,0.2,12.2,21.8,1.0,0.0,0.9,0.02,0.0,-2.6,-2.6,-0.4
2014-15,22.0,UTA,NBA,PG,76.0,2288.0,12.6,0.455,0.388,0.144,1.6,8.7,5.2,25.0,1.5,0.5,10.4,23.9,0.8,1.6,2.4,0.05,-0.1,-1.3,-1.4,0.3
2015-16,23.0,UTA,NBA,PG,64.0,1366.0,14.0,0.507,0.404,0.129,1.5,8.0,4.8,19.7,1.4,0.4,10.7,25.3,0.9,1.2,2.1,0.074,0.7,-1.2,-0.5,0.5
2016-17,24.0,WAS,NBA,PG,57.0,703.0,10.8,0.532,0.275,0.114,1.1,6.4,3.8,20.7,0.8,0.6,15.2,19.6,0.3,0.3,0.5,0.036,-1.3,-1.8,-3.0,-0.2
2017-18,25.0,NYK,NBA,PG,36.0,785.0,21.0,0.563,0.273,0.148,1.8,8.2,5.0,36.4,1.5,0.4,9.5,25.1,2.0,0.3,2.4,0.145,3.9,-1.4,2.5,0.9
2018-19,26.0,TOT,NBA,PG,58.0,1125.0,16.5,0.524,0.29,0.226,2.6,6.7,4.6,24.1,1.4,0.5,7.5,24.8,1.4,0.5,1.9,0.081,1.5,-1.4,0.1,0.6
2018-19,26.0,NYK,NBA,PG,33.0,689.0,15.6,0.496,0.24,0.209,2.2,7.3,4.7,23.6,1.5,0.6,6.9,26.1,0.4,0.2,0.6,0.044,0.9,-1.5,-0.6,0.2
2018-19,26.0,DAL,NBA,PG,25.0,436.0,17.9,0.574,0.384,0.258,3.2,5.9,4.5,24.7,1.3,0.4,8.6,22.8,1.0,0.3,1.3,0.14,2.3,-1.1,1.2,0.3
2019-20,27.0,TOT,NBA,PG,33.0,520.0,15.6,0.548,0.359,0.139,3.4,7.0,5.2,23.7,1.5,0.3,8.7,20.0,1.0,0.4,1.3,0.123,0.8,-1.0,-0.2,0.2
2019-20,27.0,PHI,NBA,PG,25.0,329.0,15.4,0.545,0.299,0.142,5.0,6.7,5.9,23.9,1.0,0.3,8.2,19.2,0.6,0.2,0.9,0.127,0.7,-1.2,-0.5,0.1
2019-20,27.0,DAL,NBA,PG,8.0,191.0,16.0,0.553,0.451,0.134,0.6,7.6,4.1,23.2,2.3,0.4,9.4,21.4,0.3,0.2,0.5,0.117,1.0,-0.8,0.2,0.1
2020-21,28.0,DAL,NBA,PG,62.0,911.0,12.6,0.544,0.465,0.161,1.2,5.3,3.3,12.9,1.9,0.7,8.0,20.0,0.7,0.7,1.4,0.071,-1.3,-0.7,-2.0,0.0
2021-22,29.0,DAL,NBA,PG,3.0,29.0,16.1,0.581,0.417,0.333,0.0,7.4,3.6,22.5,1.7,0.0,17.9,25.3,0.0,0.0,0.1,0.085,2.1,-0.9,1.2,0.0
Career,,,NBA,,459.0,9989.0,13.9,0.502,0.363,0.149,1.8,7.8,4.8,24.6,1.3,0.4,10.4,23.0,8.1,4.9,13.0,0.062,0.4,-1.6,-1.2,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,UTA,NBA,,210.0,5916.0,12.9,0.474,0.387,0.134,1.7,8.7,5.1,25.5,1.3,0.4,11.1,23.4,2.7,2.8,5.4,0.044,0.1,-1.8,-1.7,0.5
4 seasons,,DAL,NBA,,98.0,1567.0,14.5,0.555,0.438,0.19,1.7,5.8,3.7,17.6,1.8,0.6,8.6,21.0,2.1,1.1,3.1,0.096,0.0,-0.8,-0.8,0.5
2 seasons,,NYK,NBA,,69.0,1474.0,18.5,0.531,0.257,0.178,2.0,7.8,4.9,30.4,1.5,0.5,8.3,25.6,2.5,0.6,3.0,0.098,2.5,-1.5,1.0,1.1
1 season,,WAS,NBA,,57.0,703.0,10.8,0.532,0.275,0.114,1.1,6.4,3.8,20.7,0.8,0.6,15.2,19.6,0.3,0.3,0.5,0.036,-1.3,-1.8,-3.0,-0.2
1 season,,PHI,NBA,,25.0,329.0,15.4,0.545,0.299,0.142,5.0,6.7,5.9,23.9,1.0,0.3,8.2,19.2,0.6,0.2,0.9,0.127,0.7,-1.2,-0.5,0.1
