Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2015-16,20.0,UTA,NBA,PF,80.0,1382.0,11.6,0.517,0.294,0.188,5.0,20.2,12.6,7.1,1.0,1.1,12.1,17.9,0.6,1.7,2.3,0.079,-1.6,-0.2,-1.8,0.1
2016-17,21.0,UTA,NBA,PF,71.0,1158.0,9.9,0.464,0.465,0.18,4.9,18.1,11.7,9.5,1.2,1.4,11.9,21.7,-0.9,1.6,0.8,0.031,-2.2,0.0,-2.2,-0.1
2017-18,22.0,DEN,NBA,PF,73.0,1391.0,17.9,0.591,0.396,0.26,4.5,23.5,14.0,10.1,1.1,2.0,9.1,21.1,2.7,1.2,3.9,0.135,2.0,-0.7,1.3,1.1
2018-19,23.0,DEN,NBA,PF,64.0,1120.0,12.7,0.5,0.404,0.234,4.2,19.6,11.9,11.3,1.3,1.8,11.1,23.4,-0.2,1.4,1.2,0.05,-1.8,-0.7,-2.4,-0.1
2019-20,24.0,SAS,NBA,PF,63.0,1271.0,12.6,0.557,0.49,0.131,6.0,24.6,15.3,7.2,1.1,1.9,9.7,13.6,1.2,1.0,2.2,0.083,-0.5,-0.7,-1.2,0.3
2020-21,25.0,SAS,NBA,PF,23.0,358.0,11.4,0.574,0.444,0.256,2.6,23.3,12.8,5.3,0.8,0.2,5.7,12.9,0.3,0.3,0.6,0.085,-1.2,-0.7,-1.9,0.0
2021-22,26.0,DET,NBA,PF,10.0,157.0,17.3,0.55,0.5,0.483,8.6,24.4,15.5,12.0,0.9,1.2,12.1,22.4,0.2,0.1,0.4,0.108,1.0,-1.3,-0.3,0.1
Career,,,NBA,,384.0,6837.0,13.1,0.53,0.409,0.214,4.9,21.5,13.2,8.8,1.1,1.6,10.6,19.2,3.9,7.4,11.3,0.079,-0.7,-0.5,-1.2,1.4
,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,UTA,NBA,,151.0,2540.0,10.9,0.491,0.379,0.184,5.0,19.3,12.2,8.2,1.1,1.2,12.0,19.6,-0.3,3.3,3.0,0.057,-1.8,-0.1,-2.0,0.0
2 seasons,,DEN,NBA,,137.0,2511.0,15.6,0.548,0.4,0.248,4.4,21.8,13.1,10.7,1.2,1.9,10.0,22.1,2.5,2.6,5.1,0.097,0.3,-0.7,-0.4,1.0
2 seasons,,SAS,NBA,,86.0,1629.0,12.3,0.561,0.48,0.157,5.3,24.3,14.8,6.8,1.0,1.6,8.9,13.5,1.5,1.4,2.8,0.084,-0.6,-0.7,-1.3,0.3
1 season,,DET,NBA,,10.0,157.0,17.3,0.55,0.5,0.483,8.6,24.4,15.5,12.0,0.9,1.2,12.1,22.4,0.2,0.1,0.4,0.108,1.0,-1.3,-0.3,0.1
