,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2015-16,20.0,UTA,NBA,PF,80.0,33.0,17.3,2.4,5.5,0.438,0.6,1.6,0.383,1.8,3.9,0.461,0.494,0.7,1.0,0.695,0.7,3.0,3.7,0.7,0.3,0.2,0.8,1.4,6.1
1,2016-17,21.0,UTA,NBA,PF,71.0,4.0,16.3,2.2,6.2,0.362,0.9,2.9,0.319,1.3,3.3,0.4,0.436,0.8,1.1,0.722,0.7,2.6,3.3,1.0,0.4,0.3,0.9,1.4,6.2
2,2017-18,22.0,DEN,NBA,PF,73.0,2.0,19.1,3.7,7.5,0.491,1.1,3.0,0.381,2.6,4.5,0.563,0.566,1.4,2.0,0.706,0.8,4.0,4.8,1.2,0.4,0.5,0.8,1.5,9.9
3,2018-19,23.0,DEN,NBA,PF,64.0,2.0,17.5,3.2,7.7,0.418,0.8,3.1,0.255,2.4,4.6,0.529,0.47,1.3,1.8,0.698,0.7,3.2,3.8,1.4,0.5,0.4,1.1,1.5,8.5
4,2019-20,24.0,SAS,NBA,PF,63.0,53.0,20.2,2.4,5.4,0.446,1.0,2.7,0.387,1.4,2.8,0.503,0.541,0.5,0.7,0.733,1.1,4.6,5.7,1.1,0.4,0.4,0.6,1.6,6.4
5,2020-21,25.0,SAS,NBA,PF,23.0,9.0,15.6,1.9,3.9,0.478,0.6,1.7,0.35,1.3,2.2,0.58,0.556,0.7,1.0,0.652,0.4,3.3,3.7,0.6,0.3,0.0,0.3,0.6,5.0
6,2021-22,26.0,DET,NBA,PF,3.0,0.0,19.0,2.7,6.0,0.444,1.0,2.3,0.429,1.7,3.7,0.455,0.528,1.7,2.0,0.833,1.0,4.0,5.0,1.0,0.7,0.7,1.7,0.3,8.0
7,Career,,,NBA,,377.0,103.0,17.9,2.7,6.3,0.435,0.9,2.6,0.342,1.9,3.7,0.499,0.504,0.9,1.3,0.706,0.8,3.4,4.2,1.0,0.4,0.3,0.8,1.4,7.3
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2 seasons,,UTA,NBA,,151.0,37.0,16.8,2.3,5.8,0.4,0.8,2.2,0.343,1.6,3.6,0.435,0.465,0.8,1.1,0.708,0.7,2.8,3.5,0.8,0.3,0.3,0.9,1.4,6.1
10,2 seasons,,DEN,NBA,,137.0,4.0,18.3,3.5,7.6,0.456,1.0,3.1,0.321,2.5,4.6,0.547,0.521,1.3,1.9,0.703,0.7,3.6,4.3,1.3,0.4,0.4,0.9,1.5,9.3
11,2 seasons,,SAS,NBA,,86.0,62.0,18.9,2.3,5.0,0.453,0.9,2.4,0.38,1.4,2.6,0.52,0.544,0.6,0.8,0.706,0.9,4.3,5.2,1.0,0.4,0.3,0.5,1.3,6.0
12,1 season,,DET,NBA,,3.0,0.0,19.0,2.7,6.0,0.444,1.0,2.3,0.429,1.7,3.7,0.455,0.528,1.7,2.0,0.833,1.0,4.0,5.0,1.0,0.7,0.7,1.7,0.3,8.0
