Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2019-20,22.0,TOT,NBA,"PF,SF",13.0,54.0,19.4,0.741,0.0,0.667,12.3,16.6,14.4,2.9,2.7,0.0,16.2,14.7,0.2,0.0,0.2,0.182,0.3,-0.7,-0.4,0.0
2019-20,22.0,CLE,NBA,PF,11.0,35.0,23.9,0.752,0.0,0.6,12.6,19.2,15.9,4.5,1.4,0.0,7.3,16.7,0.2,0.0,0.2,0.244,2.9,-0.6,2.3,0.0
2019-20,22.0,DEN,NBA,SF,2.0,19.0,11.3,0.694,0.0,1.0,11.8,11.8,11.8,0.0,5.2,0.0,41.0,11.2,0.0,0.0,0.0,0.069,-4.5,-0.9,-5.4,0.0
2020-21,23.0,TOT,NBA,"PF,SF",32.0,438.0,12.8,0.659,0.019,0.34,7.0,17.2,12.1,5.9,0.9,0.4,15.1,13.9,0.5,0.3,0.8,0.09,-2.5,-0.5,-3.0,-0.1
2020-21,23.0,BRK,NBA,PF,4.0,17.0,1.6,0.333,0.0,0.0,6.9,6.2,6.5,14.1,0.0,0.0,25.0,10.3,0.0,0.0,0.0,-0.047,-5.3,-1.5,-6.8,0.0
2020-21,23.0,DET,NBA,SF,28.0,421.0,13.2,0.667,0.02,0.35,7.1,17.6,12.3,5.6,0.9,0.4,14.8,14.1,0.5,0.3,0.8,0.096,-2.4,-0.5,-2.9,-0.1
2021-22,24.0,CHI,NBA,PF,1.0,12.0,19.6,0.773,0.0,0.667,0.0,17.8,9.0,24.9,0.0,0.0,20.5,17.9,0.0,0.0,0.1,0.22,2.8,2.0,4.9,0.0
Career,,,NBA,,46.0,504.0,13.7,0.671,0.017,0.381,7.4,17.1,12.2,6.1,1.1,0.3,15.4,14.1,0.7,0.4,1.1,0.103,-2.0,-0.5,-2.5,-0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,DET,NBA,,28.0,421.0,13.2,0.667,0.02,0.35,7.1,17.6,12.3,5.6,0.9,0.4,14.8,14.1,0.5,0.3,0.8,0.096,-2.4,-0.5,-2.9,-0.1
1 season,,CLE,NBA,,11.0,35.0,23.9,0.752,0.0,0.6,12.6,19.2,15.9,4.5,1.4,0.0,7.3,16.7,0.2,0.0,0.2,0.244,2.9,-0.6,2.3,0.0
1 season,,BRK,NBA,,4.0,17.0,1.6,0.333,0.0,0.0,6.9,6.2,6.5,14.1,0.0,0.0,25.0,10.3,0.0,0.0,0.0,-0.047,-5.3,-1.5,-6.8,0.0
1 season,,DEN,NBA,,2.0,19.0,11.3,0.694,0.0,1.0,11.8,11.8,11.8,0.0,5.2,0.0,41.0,11.2,0.0,0.0,0.0,0.069,-4.5,-0.9,-5.4,0.0
1 season,,CHI,NBA,,1.0,12.0,19.6,0.773,0.0,0.667,0.0,17.8,9.0,24.9,0.0,0.0,20.5,17.9,0.0,0.0,0.1,0.22,2.8,2.0,4.9,0.0
