Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,22.0,TOT,NBA,"PF,SF",13.0,0.0,4.2,0.6,0.9,0.667,0.0,0.0,,0.6,0.9,0.667,0.667,0.5,0.6,0.875,0.5,0.6,1.1,0.1,0.2,0.0,0.2,0.4,1.8
2019-20,22.0,CLE,NBA,PF,11.0,0.0,3.2,0.6,0.9,0.7,0.0,0.0,,0.6,0.9,0.7,0.7,0.5,0.5,0.833,0.4,0.5,0.9,0.1,0.1,0.0,0.1,0.4,1.7
2019-20,22.0,DEN,NBA,SF,2.0,0.0,9.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.5,2.0
2020-21,23.0,TOT,NBA,"PF,SF",32.0,1.0,13.7,2.2,3.2,0.67,0.0,0.1,0.5,2.1,3.2,0.673,0.675,0.5,1.1,0.486,0.9,2.1,3.0,0.5,0.3,0.1,0.7,1.1,4.9
2020-21,23.0,BRK,NBA,PF,4.0,0.0,4.3,0.3,0.8,0.333,0.0,0.0,,0.3,0.8,0.333,0.333,0.0,0.0,,0.3,0.3,0.5,0.5,0.0,0.0,0.3,0.5,0.5
2020-21,23.0,DET,NBA,SF,28.0,1.0,15.0,2.4,3.6,0.68,0.0,0.1,0.5,2.4,3.5,0.684,0.685,0.6,1.3,0.486,1.0,2.4,3.3,0.5,0.3,0.1,0.7,1.2,5.5
2021-22,24.0,CHI,NBA,PF,1.0,0.0,12.0,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,6.0
Career,,,NBA,,46.0,1.0,11.0,1.7,2.6,0.669,0.0,0.0,0.5,1.7,2.5,0.672,0.674,0.6,1.0,0.578,0.7,1.7,2.4,0.4,0.2,0.0,0.5,0.9,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,DET,NBA,,28.0,1.0,15.0,2.4,3.6,0.68,0.0,0.1,0.5,2.4,3.5,0.684,0.685,0.6,1.3,0.486,1.0,2.4,3.3,0.5,0.3,0.1,0.7,1.2,5.5
1 season,,CLE,NBA,,11.0,0.0,3.2,0.6,0.9,0.7,0.0,0.0,,0.6,0.9,0.7,0.7,0.5,0.5,0.833,0.4,0.5,0.9,0.1,0.1,0.0,0.1,0.4,1.7
1 season,,BRK,NBA,,4.0,0.0,4.3,0.3,0.8,0.333,0.0,0.0,,0.3,0.8,0.333,0.333,0.0,0.0,,0.3,0.3,0.5,0.5,0.0,0.0,0.3,0.5,0.5
1 season,,DEN,NBA,,2.0,0.0,9.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.5,2.0
1 season,,CHI,NBA,,1.0,0.0,12.0,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,6.0
