No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Mike Conley,G,6-1,175,"October 11, 1987",us,14,Ohio State
,Udoka Azubuike,C,6-10,280,"September 17, 1999",ng,1,Kansas
,Royce O'Neale,F,6-4,226,"June 5, 1993",us,4,"Denver, Baylor"
,Jarrell Brantley,F,6-5,250,"June 7, 1996",us,2,College of Charleston
,Elijah Hughes,F,6-5,215,"March 10, 1998",us,1,"Syracuse, East Carolina University"
,Joe Ingles,F-G,6-8,220,"October 2, 1987",au,7,
,Trent Forrest (TW),G,6-4,210,"June 12, 1998",us,1,Florida State
,Donovan Mitchell,G,6-1,215,"September 7, 1996",us,4,Louisville
,Eric Paschall,F,6-6,255,"November 4, 1996",us,2,"Fordham, Villanova"
,MaCio Teague,G,6-4,195,"June 11, 1997",us,R,"UNC Asheville, Baylor"
,Rudy Gobert,C,7-1,258,"June 26, 1992",fr,8,
,Miye Oni,G,6-5,206,"August 4, 1997",us,2,Yale
,Derrick Alston Jr.,G-F,6-9,190,"September 17, 1997",us,R,Boise State
,Rudy Gay,F,6-8,250,"August 17, 1986",us,15,UConn
,Bojan Bogdanović,G-F,6-7,226,"April 18, 1989",ba,7,
,Hassan Whiteside,C,7-0,265,"June 13, 1989",us,9,Marshall
,Jordan Clarkson,G,6-4,194,"June 7, 1992",us,7,"Tulsa, Missouri"
