Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,19.0,CHI,NBA,C,44.0,1110.0,15.2,0.541,0.086,0.302,8.4,21.8,15.0,10.7,1.1,4.5,13.4,19.1,0.7,1.2,1.9,0.08,-2.2,0.6,-1.6,0.1
2019-20,20.0,CHI,NBA,C,43.0,1256.0,15.5,0.59,0.085,0.443,11.6,24.6,17.8,6.0,1.3,2.7,14.9,16.4,1.7,1.6,3.3,0.127,-2.1,-0.3,-2.4,-0.1
2020-21,21.0,TOT,NBA,C,54.0,1375.0,16.7,0.566,0.112,0.392,10.2,24.6,17.4,11.2,1.2,2.7,12.7,19.3,1.7,1.7,3.4,0.118,-1.0,-0.5,-1.5,0.1
2020-21,21.0,CHI,NBA,C,32.0,792.0,16.3,0.578,0.087,0.44,9.9,24.9,17.5,12.3,1.1,2.6,14.0,19.1,1.1,1.0,2.1,0.13,-1.3,-0.1,-1.4,0.1
2020-21,21.0,ORL,NBA,C,22.0,583.0,17.3,0.549,0.141,0.332,10.7,24.1,17.2,9.7,1.4,2.8,11.0,19.5,0.6,0.7,1.2,0.103,-0.7,-1.1,-1.8,0.0
2021-22,22.0,ORL,NBA,C,23.0,659.0,18.6,0.606,0.394,0.203,7.4,27.4,17.4,13.0,1.2,2.0,10.7,18.4,1.3,0.7,2.0,0.145,2.2,-0.3,1.8,0.6
Career,,,NBA,,164.0,4400.0,16.3,0.572,0.145,0.35,9.8,24.3,16.9,9.8,1.2,3.1,13.2,18.3,5.4,5.1,10.6,0.115,-1.1,-0.2,-1.3,0.7
,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,CHI,NBA,,119.0,3158.0,15.6,0.569,0.086,0.388,10.1,23.7,16.7,9.2,1.2,3.3,14.1,18.0,3.5,3.8,7.3,0.111,-1.9,0.1,-1.9,0.1
2 seasons,,ORL,NBA,,45.0,1242.0,18.0,0.579,0.275,0.264,8.9,25.9,17.3,11.4,1.3,2.4,10.8,18.9,1.9,1.3,3.2,0.125,0.8,-0.7,0.1,0.7
