Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,22.0,POR,NBA,SG,73.0,5.0,12.2,1.6,4.2,0.382,0.1,0.9,0.138,1.5,3.3,0.447,0.396,0.7,0.9,0.769,0.5,1.5,2.0,0.8,0.5,0.1,0.8,0.8,4.0
2013-14,23.0,POR,NBA,SG,41.0,0.0,9.4,1.6,3.8,0.417,0.2,0.8,0.303,1.3,3.0,0.447,0.449,0.6,0.8,0.813,0.4,1.4,1.8,0.8,0.2,0.2,0.4,0.8,4.0
2014-15,24.0,TOT,NBA,SG,58.0,0.0,16.9,2.6,6.1,0.425,0.4,1.5,0.271,2.2,4.6,0.474,0.458,1.3,1.6,0.787,0.4,2.3,2.8,1.4,0.8,0.3,1.1,1.2,6.8
2014-15,24.0,POR,NBA,SG,30.0,0.0,10.0,1.3,3.3,0.38,0.1,0.6,0.222,1.1,2.7,0.415,0.4,0.3,0.5,0.667,0.1,1.0,1.1,0.9,0.5,0.1,0.6,0.7,3.0
2014-15,24.0,DEN,NBA,SG,28.0,0.0,24.4,4.0,9.0,0.443,0.7,2.4,0.284,3.3,6.6,0.5,0.48,2.3,2.8,0.81,0.8,3.8,4.6,1.9,1.2,0.5,1.6,1.8,11.0
2015-16,25.0,DEN,NBA,SG,82.0,1.0,28.7,5.2,12.0,0.432,1.4,4.0,0.345,3.8,8.0,0.476,0.489,2.6,3.3,0.806,0.7,5.1,5.8,2.5,0.9,0.5,1.7,1.8,14.4
2016-17,26.0,DEN,NBA,SG,60.0,19.0,28.4,4.9,11.1,0.443,1.5,3.9,0.37,3.5,7.2,0.483,0.508,2.4,3.2,0.753,1.0,3.4,4.3,3.4,0.8,0.5,1.6,1.8,13.7
2017-18,27.0,DEN,NBA,SG,81.0,40.0,33.1,5.7,12.7,0.452,1.9,5.2,0.37,3.8,7.5,0.51,0.528,2.2,2.8,0.805,0.9,4.2,5.0,4.1,1.0,0.6,1.8,2.1,15.7
2018-19,28.0,DEN,NBA,SF,43.0,38.0,27.7,4.3,10.7,0.402,1.6,4.6,0.342,2.7,6.1,0.447,0.475,1.3,1.7,0.77,0.7,3.9,4.6,2.9,0.4,0.5,1.5,1.9,11.5
2019-20,29.0,DEN,NBA,SF,58.0,58.0,33.0,5.7,12.7,0.45,1.9,5.0,0.375,3.9,7.8,0.498,0.523,1.8,2.3,0.767,1.3,5.0,6.3,3.7,1.1,0.5,1.5,2.1,15.1
2020-21,30.0,DEN,NBA,SF,56.0,52.0,31.0,4.6,10.9,0.426,1.8,4.6,0.381,2.9,6.3,0.459,0.507,1.7,2.2,0.785,0.7,3.3,4.0,3.2,0.9,0.4,1.7,1.7,12.7
2021-22,31.0,DEN,NBA,SG,13.0,13.0,33.5,6.5,13.8,0.472,2.5,6.0,0.423,4.0,7.8,0.51,0.564,1.0,1.3,0.765,0.5,4.5,5.0,4.4,1.2,0.5,1.6,1.1,16.6
Career,,,NBA,,565.0,226.0,25.3,4.2,9.7,0.434,1.2,3.5,0.354,3.0,6.2,0.479,0.498,1.7,2.2,0.785,0.7,3.5,4.2,2.6,0.8,0.4,1.4,1.6,11.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,DEN,NBA,,421.0,221.0,30.2,5.1,11.7,0.439,1.6,4.4,0.364,3.5,7.2,0.485,0.508,2.1,2.6,0.787,0.9,4.2,5.1,3.2,0.9,0.5,1.7,1.9,13.9
3 seasons,,POR,NBA,,144.0,5.0,11.0,1.5,3.9,0.391,0.2,0.8,0.198,1.4,3.1,0.441,0.412,0.6,0.8,0.768,0.4,1.4,1.8,0.8,0.4,0.1,0.7,0.7,3.8
