,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,2015-16,22.0,SAC,NBA,C,66.0,1412.0,15.3,0.588,0.006,0.369,10.3,16.6,13.5,3.8,1.6,3.8,10.5,13.2,2.4,1.4,3.8,0.13,-0.8,0.1,-0.8,0.4
1,2016-17,23.0,SAC,NBA,C,75.0,1421.0,16.3,0.558,0.004,0.314,7.0,20.4,13.8,9.4,1.9,2.8,11.2,19.7,1.4,1.5,2.9,0.1,-1.2,0.2,-1.0,0.3
2,2017-18,24.0,SAC,NBA,C,73.0,2044.0,17.6,0.529,0.016,0.32,7.0,22.0,14.2,13.7,1.9,3.1,11.0,21.8,1.7,2.2,3.9,0.092,-0.4,0.3,-0.1,1.0
3,2018-19,25.0,SAC,NBA,C,81.0,2213.0,18.0,0.566,0.003,0.343,8.2,23.7,15.8,12.3,2.0,2.0,9.0,17.5,3.8,2.9,6.7,0.146,0.2,1.1,1.2,1.8
4,2019-20,26.0,TOT,NBA,C,54.0,1097.0,17.0,0.589,0.003,0.219,8.0,23.3,15.5,9.9,2.1,5.0,10.8,14.4,1.5,1.5,2.9,0.128,-1.2,1.7,0.5,0.7
5,2019-20,26.0,GSW,NBA,C,41.0,940.0,16.2,0.573,0.0,0.222,7.9,22.0,14.7,9.9,2.3,4.8,11.0,14.4,1.0,1.2,2.2,0.113,-1.6,1.6,0.0,0.5
6,2019-20,26.0,DAL,NBA,C,13.0,157.0,22.2,0.684,0.022,0.2,8.8,31.0,20.1,9.6,1.2,6.0,9.3,14.7,0.5,0.3,0.7,0.222,0.9,2.2,3.1,0.2
7,2020-21,27.0,DAL,NBA,C,53.0,906.0,14.3,0.647,0.06,0.429,8.1,20.5,14.3,5.3,1.1,4.4,11.8,12.0,1.6,1.2,2.8,0.147,-2.2,0.6,-1.6,0.1
8,Career,,,NBA,,402.0,9093.0,16.7,0.565,0.011,0.327,8.0,21.4,14.6,9.8,1.8,3.2,10.5,17.2,12.5,10.6,23.1,0.122,-0.7,0.6,-0.1,4.4
9,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4 seasons,,SAC,NBA,,295.0,7090.0,17.0,0.555,0.008,0.333,8.0,21.2,14.5,10.4,1.9,2.8,10.3,18.3,9.4,8.0,17.4,0.118,-0.5,0.5,0.0,3.6
11,2 seasons,,DAL,NBA,,66.0,1063.0,15.5,0.654,0.053,0.383,8.2,22.1,15.2,5.9,1.2,4.6,11.4,12.4,2.1,1.4,3.5,0.158,-1.8,0.8,-0.9,0.3
12,1 season,,GSW,NBA,,41.0,940.0,16.2,0.573,0.0,0.222,7.9,22.0,14.7,9.9,2.3,4.8,11.0,14.4,1.0,1.2,2.2,0.113,-1.6,1.6,0.0,0.5
