Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,22.0,NYK,NBA,C,72.0,22.0,18.4,3.4,6.5,0.529,0.1,0.2,0.267,3.4,6.3,0.538,0.533,1.3,1.7,0.728,2.4,4.6,7.0,1.3,0.6,0.5,1.4,2.1,8.2
2017-18,23.0,TOT,NBA,C,48.0,1.0,10.3,1.9,3.4,0.555,0.1,0.3,0.417,1.8,3.2,0.566,0.57,1.2,1.9,0.656,1.3,2.5,3.8,0.7,0.4,0.3,0.7,1.3,5.1
2017-18,23.0,NYK,NBA,C,26.0,0.0,9.0,1.9,3.1,0.605,0.0,0.2,0.2,1.8,2.9,0.632,0.611,0.5,1.1,0.429,0.8,1.7,2.6,0.8,0.3,0.3,1.0,1.2,4.3
2017-18,23.0,CHO,NBA,C,22.0,1.0,11.9,1.9,3.8,0.506,0.2,0.3,0.571,1.7,3.5,0.5,0.53,2.1,2.8,0.758,1.8,3.5,5.3,0.5,0.5,0.4,0.4,1.5,6.1
2018-19,24.0,CHO,NBA,C,58.0,3.0,14.0,2.6,5.1,0.519,0.3,0.7,0.385,2.4,4.4,0.539,0.544,1.7,2.5,0.694,2.0,3.3,5.4,1.0,0.3,0.3,1.0,1.7,7.3
2019-20,25.0,CHO,NBA,C,31.0,0.0,12.1,2.4,4.5,0.532,0.2,0.7,0.227,2.2,3.8,0.59,0.55,1.2,1.9,0.627,1.4,2.9,4.3,0.9,0.3,0.2,1.0,1.0,6.1
2020-21,26.0,NOP,NBA,C,47.0,12.0,18.0,3.2,5.7,0.563,0.0,0.2,0.1,3.2,5.5,0.581,0.565,1.3,2.0,0.667,2.5,4.6,7.1,1.1,0.5,0.5,0.7,1.4,7.8
2021-22,27.0,NOP,NBA,C,9.0,0.0,13.0,3.6,5.1,0.696,0.2,0.2,1.0,3.3,4.9,0.682,0.717,1.3,1.8,0.75,1.3,4.1,5.4,1.7,0.4,0.2,1.2,1.9,8.7
Career,,,NBA,,265.0,38.0,15.0,2.8,5.2,0.542,0.1,0.4,0.32,2.7,4.8,0.56,0.554,1.4,2.0,0.685,2.0,3.7,5.7,1.1,0.4,0.4,1.0,1.6,7.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,CHO,NBA,,111.0,4.0,13.1,2.4,4.7,0.52,0.2,0.6,0.353,2.2,4.0,0.546,0.544,1.7,2.4,0.694,1.8,3.3,5.1,0.9,0.3,0.3,0.9,1.5,6.7
2 seasons,,NYK,NBA,,98.0,22.0,15.9,3.0,5.6,0.54,0.1,0.2,0.25,3.0,5.4,0.551,0.545,1.1,1.6,0.673,2.0,3.8,5.8,1.2,0.5,0.4,1.3,1.9,7.1
2 seasons,,NOP,NBA,,56.0,12.0,17.2,3.3,5.6,0.583,0.1,0.2,0.25,3.2,5.4,0.596,0.588,1.3,1.9,0.679,2.3,4.5,6.8,1.2,0.5,0.4,0.8,1.5,7.9
