Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,19.0,MIN,NBA,PG,77.0,1902.0,11.3,0.515,0.247,0.261,1.6,11.6,6.4,24.0,1.4,0.4,20.4,22.0,-0.7,0.0,-0.7,-0.018,-2.2,-2.5,-4.6,-1.3
2015-16,20.0,MIN,NBA,SG,82.0,2294.0,14.3,0.548,0.33,0.212,1.4,10.1,5.8,18.6,1.5,0.6,12.9,23.5,1.9,0.7,2.6,0.054,0.2,-1.6,-1.5,0.3
2016-17,21.0,MIN,NBA,SG,47.0,1749.0,14.6,0.576,0.437,0.197,1.2,9.5,5.3,12.6,1.2,0.5,9.9,21.7,2.6,0.4,3.0,0.082,1.5,-1.4,0.1,0.9
2017-18,22.0,CHI,NBA,SG,24.0,656.0,14.6,0.499,0.346,0.301,1.4,14.4,7.7,18.6,1.8,0.5,9.7,29.5,-0.1,0.5,0.3,0.025,-0.8,-1.5,-2.3,-0.1
2018-19,23.0,CHI,NBA,SG,63.0,2171.0,18.7,0.574,0.283,0.33,2.0,12.9,7.4,22.6,1.3,1.0,14.2,30.5,1.7,1.1,2.8,0.062,2.4,-1.6,0.8,1.5
2019-20,24.0,CHI,NBA,SG,60.0,2085.0,19.4,0.568,0.404,0.279,2.1,13.8,7.7,21.7,2.0,1.3,13.3,31.7,1.8,2.2,4.0,0.091,3.2,-0.8,2.4,2.4
2020-21,25.0,CHI,NBA,SG,58.0,2034.0,21.5,0.634,0.425,0.265,2.0,13.6,7.9,23.4,1.1,1.2,13.9,31.0,4.0,1.8,5.9,0.138,4.8,-1.1,3.7,2.9
2021-22,26.0,CHI,NBA,SG,8.0,281.0,22.6,0.6,0.347,0.327,1.6,14.4,8.3,21.5,0.7,0.9,10.9,30.4,0.8,0.3,1.1,0.187,4.8,-3.0,1.8,0.3
Career,,,NBA,,419.0,13172.0,16.8,0.57,0.357,0.267,1.7,12.1,6.8,20.5,1.4,0.8,13.7,27.1,11.9,7.0,18.9,0.069,1.6,-1.5,0.1,7.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,CHI,NBA,,213.0,7227.0,19.5,0.583,0.368,0.294,1.9,13.6,7.7,22.1,1.5,1.1,13.3,30.9,8.1,5.9,14.1,0.093,3.1,-1.3,1.8,7.0
3 seasons,,MIN,NBA,,206.0,5945.0,13.4,0.547,0.338,0.222,1.4,10.4,5.9,18.6,1.4,0.5,14.4,22.5,3.8,1.1,4.9,0.039,-0.2,-1.8,-2.0,0.0
