,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2014-15,19.0,MIN,NBA,PG,77.0,40.0,24.7,3.7,8.8,0.422,0.7,2.2,0.341,3.0,6.6,0.449,0.465,1.9,2.3,0.842,0.4,2.4,2.8,3.6,0.7,0.1,2.5,2.1,10.1
1,2015-16,20.0,MIN,NBA,SG,82.0,33.0,28.0,5.3,11.7,0.452,1.5,3.9,0.389,3.8,7.8,0.482,0.516,2.0,2.5,0.793,0.3,2.5,2.8,3.1,0.8,0.2,1.9,2.4,14.0
2,2016-17,21.0,MIN,NBA,SG,47.0,47.0,37.2,6.9,15.1,0.459,2.6,6.6,0.387,4.4,8.5,0.515,0.544,2.5,3.0,0.836,0.4,3.0,3.4,3.0,0.9,0.2,1.8,2.2,18.9
3,2017-18,22.0,CHI,NBA,SG,24.0,24.0,27.3,5.7,14.8,0.383,1.8,5.1,0.341,3.9,9.7,0.405,0.442,3.6,4.5,0.813,0.4,3.5,3.9,3.0,1.0,0.2,1.8,2.3,16.7
4,2018-19,23.0,CHI,NBA,SG,63.0,62.0,34.5,8.4,18.0,0.467,1.9,5.1,0.374,6.5,12.9,0.504,0.52,5.0,6.0,0.832,0.6,4.0,4.7,4.5,1.0,0.4,3.4,2.2,23.7
5,2019-20,24.0,CHI,NBA,SG,60.0,60.0,34.8,9.0,20.0,0.45,3.1,8.1,0.38,5.9,11.9,0.497,0.526,4.5,5.6,0.802,0.7,4.1,4.8,4.2,1.5,0.5,3.4,2.2,25.5
6,2020-21,25.0,CHI,NBA,SG,58.0,58.0,35.1,9.8,19.4,0.507,3.4,8.2,0.419,6.4,11.1,0.571,0.596,4.4,5.1,0.849,0.6,4.4,5.0,4.9,0.8,0.5,3.5,2.4,27.4
7,2021-22,26.0,CHI,NBA,SG,4.0,4.0,33.8,8.8,17.5,0.5,3.0,6.8,0.444,5.8,10.8,0.535,0.586,5.0,5.3,0.952,0.3,5.0,5.3,4.8,0.5,0.5,3.0,1.0,25.5
8,Career,,,NBA,,415.0,328.0,31.4,6.9,15.0,0.458,2.1,5.4,0.386,4.8,9.6,0.499,0.527,3.3,4.0,0.826,0.5,3.3,3.8,3.8,0.9,0.3,2.7,2.2,19.1
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5 seasons,,CHI,NBA,,209.0,208.0,33.9,8.7,18.6,0.466,2.7,6.9,0.39,6.0,11.7,0.511,0.538,4.5,5.4,0.828,0.6,4.1,4.7,4.4,1.1,0.4,3.2,2.2,24.5
11,3 seasons,,MIN,NBA,,206.0,120.0,28.9,5.1,11.4,0.445,1.5,3.8,0.378,3.6,7.5,0.48,0.509,2.1,2.5,0.821,0.4,2.6,2.9,3.2,0.8,0.2,2.1,2.2,13.7
