,Unnamed: 0,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Opp eFG%,Opp TOV%,DRB%,Opp FT/FGA,Arena,Attend.,Attend./G
0,0,Dallas Mavericks,28.1,60.0,22.0,62,20,7.78,0.12,7.9,110.7,102.3,8.4,92.5,0.257,0.239,0.543,0.498,10.9,25.4,0.213,0.473,14.8,70.9,0.221,American Airlines Center,816429,19913
1,1,Sacramento Kings,28.3,59.0,23.0,59,23,6.5,0.18,6.68,105.9,99.1,6.8,95.4,0.262,0.184,0.535,0.499,13.3,25.6,0.196,0.446,13.6,70.6,0.204,ARCO Arena (II),709997,17317
2,2,San Antonio Spurs,28.4,60.0,22.0,57,25,5.41,0.23,5.65,105.6,99.7,5.9,90.0,0.348,0.202,0.541,0.497,15.1,28.8,0.253,0.453,14.2,71.3,0.199,SBC Center,735970,17950
3,3,New Jersey Nets,27.3,49.0,33.0,56,26,5.22,-0.8,4.42,103.8,98.1,5.7,91.6,0.333,0.158,0.518,0.468,13.8,28.7,0.252,0.46,15.7,73.1,0.225,Continental Airlines Arena,622574,15185
4,4,Detroit Pistons,29.0,50.0,32.0,52,30,3.68,-0.71,2.97,104.1,99.9,4.2,86.8,0.322,0.237,0.523,0.473,13.3,25.9,0.248,0.461,13.9,74.0,0.225,The Palace of Auburn Hills,839278,20470
5,5,Indiana Pacers,25.9,48.0,34.0,51,31,3.49,-0.7,2.79,104.6,100.8,3.8,91.6,0.344,0.169,0.522,0.469,13.7,29.0,0.263,0.458,14.3,72.3,0.228,Conseco Fieldhouse,670461,16353
6,6,Portland Trail Blazers,29.2,50.0,32.0,49,33,2.61,0.36,2.97,105.5,102.6,2.9,89.4,0.3,0.177,0.531,0.489,14.5,30.2,0.223,0.483,14.9,72.3,0.194,Rose Garden Arena,796258,19421
7,7,Utah Jazz,30.9,47.0,35.0,48,34,2.39,0.37,2.76,105.5,102.8,2.7,89.3,0.38,0.104,0.537,0.486,16.0,32.5,0.283,0.468,15.2,70.2,0.256,Delta Center,786034,19172
8,8,Los Angeles Lakers,28.1,50.0,32.0,48,34,2.33,0.38,2.71,107.2,104.7,2.5,92.5,0.311,0.199,0.528,0.486,13.3,30.2,0.228,0.477,13.4,72.7,0.241,STAPLES Center,777888,18973
9,9,Philadelphia 76ers,28.3,48.0,34.0,48,34,2.3,-0.55,1.76,105.0,102.5,2.5,91.4,0.339,0.119,0.52,0.466,13.7,30.3,0.263,0.488,16.2,72.7,0.243,First Union Center,807097,19685
10,10,Minnesota Timberwolves,28.2,51.0,31.0,47,35,2.07,0.39,2.46,106.1,103.8,2.3,91.9,0.268,0.118,0.528,0.488,12.9,28.2,0.206,0.472,12.7,72.9,0.203,Target Center,643684,15700
11,11,New Orleans Hornets,29.1,47.0,35.0,47,35,2.11,-0.59,1.52,103.9,101.6,2.3,89.4,0.285,0.161,0.511,0.465,13.9,31.7,0.219,0.464,14.0,73.1,0.226,New Orleans Arena,641683,15651
12,12,Houston Rockets,25.9,43.0,39.0,46,36,1.48,0.42,1.89,104.3,102.6,1.7,88.8,0.316,0.196,0.522,0.474,14.8,30.3,0.243,0.462,12.6,72.4,0.209,Compaq Center,565166,13785
13,13,Phoenix Suns,25.2,44.0,38.0,44,38,1.13,0.43,1.57,103.7,102.5,1.2,91.5,0.285,0.17,0.514,0.473,13.7,29.7,0.211,0.47,14.8,70.3,0.222,America West Arena,666559,16258
14,14,Orlando Magic,26.9,42.0,40.0,41,41,0.13,-0.53,-0.39,105.2,105.0,0.2,93.1,0.307,0.235,0.526,0.478,13.3,27.0,0.239,0.486,15.1,71.1,0.25,TD Waterhouse Centre,605901,14778
15,15,Milwaukee Bucks,29.3,42.0,40.0,42,40,0.23,-0.48,-0.24,108.8,108.6,0.2,90.4,0.287,0.229,0.543,0.5,12.2,25.6,0.222,0.494,13.5,69.9,0.237,Bradley Center,665966,16243
16,16,Seattle SuperSonics,26.9,40.0,42.0,41,41,-0.12,0.49,0.37,103.7,103.9,-0.2,88.0,0.27,0.196,0.512,0.472,12.8,28.1,0.201,0.484,14.3,71.8,0.21,KeyArena at Seattle Center,637194,15541
17,17,Boston Celtics,26.9,44.0,38.0,40,42,-0.39,-0.36,-0.75,101.2,101.6,-0.4,90.9,0.306,0.331,0.514,0.47,13.4,23.6,0.227,0.471,15.1,72.5,0.242,FleetCenter,709049,17294
18,18,Washington Wizards,28.4,37.0,45.0,38,44,-1.01,-0.46,-1.47,103.0,104.1,-1.1,88.2,0.325,0.127,0.513,0.46,13.0,27.3,0.253,0.477,13.8,71.6,0.212,MCI Center,827093,20173
19,19,Golden State Warriors,24.4,38.0,44.0,38,44,-1.13,0.54,-0.6,108.3,109.5,-1.2,94.2,0.343,0.178,0.526,0.472,13.9,35.0,0.267,0.482,12.2,67.9,0.22,The Arena in Oakland,634935,15486
20,20,New York Knicks,30.2,37.0,45.0,37,45,-1.35,-0.26,-1.61,104.7,106.2,-1.5,90.7,0.241,0.235,0.528,0.486,13.4,24.4,0.196,0.485,13.7,71.8,0.261,Madison Square Garden (IV),779479,19012
21,21,Memphis Grizzlies,24.9,28.0,54.0,32,50,-3.23,0.63,-2.6,103.9,107.3,-3.4,92.7,0.287,0.19,0.526,0.487,14.2,27.0,0.212,0.491,13.4,68.7,0.197,Pyramid Arena,611322,14910
22,22,Atlanta Hawks,27.2,35.0,47.0,31,51,-3.56,-0.31,-3.87,102.3,106.1,-3.8,91.0,0.313,0.177,0.527,0.476,15.7,27.9,0.248,0.469,12.1,70.4,0.222,Philips Arena,528655,12894
23,23,Los Angeles Clippers,25.3,27.0,55.0,29,53,-4.12,0.68,-3.45,102.3,106.8,-4.5,91.3,0.335,0.182,0.516,0.467,14.8,29.1,0.252,0.481,13.1,70.2,0.222,STAPLES Center,706471,17231
24,24,Chicago Bulls,25.2,30.0,52.0,27,55,-5.13,-0.17,-5.31,100.2,105.6,-5.4,93.5,0.3,0.148,0.512,0.471,15.4,27.7,0.217,0.47,13.3,69.5,0.263,United Center,804309,19617
25,25,Miami Heat,26.5,25.0,57.0,25,57,-5.05,-0.08,-5.13,96.7,102.4,-5.7,87.8,0.259,0.169,0.483,0.439,13.8,26.8,0.198,0.47,14.1,73.9,0.257,AmericanAirlines Arena,628242,15323
26,26,Toronto Raptors,27.6,24.0,58.0,24,58,-5.87,-0.23,-6.1,100.5,107.0,-6.5,89.9,0.282,0.179,0.497,0.458,13.6,28.2,0.203,0.489,13.1,70.7,0.226,Air Canada Centre,777507,18964
27,27,Denver Nuggets,24.1,17.0,65.0,17,65,-8.28,0.87,-7.41,92.2,101.3,-9.1,91.0,0.283,0.126,0.469,0.428,17.1,31.3,0.198,0.477,16.5,73.3,0.29,Pepsi Center,607813,14825
28,28,Cleveland Cavaliers,23.5,17.0,65.0,16,66,-9.62,0.04,-9.59,96.5,106.7,-10.2,94.0,0.298,0.133,0.491,0.444,16.4,31.0,0.223,0.484,13.0,73.2,0.252,Gund Arena,471374,11497
0,0,San Antonio Spurs,27.3,57.0,25.0,62,20,7.22,0.29,7.51,102.2,94.1,8.1,89.2,0.322,0.177,0.511,0.473,14.1,29.5,0.219,0.433,14.8,74.6,0.215,SBC Center,739706,18042
1,1,Detroit Pistons,27.4,54.0,28.0,59,23,5.84,-0.81,5.04,102.0,95.4,6.6,87.9,0.328,0.153,0.511,0.461,14.7,30.1,0.247,0.441,15.5,71.8,0.202,The Palace of Auburn Hills,872902,21290
2,2,Indiana Pacers,27.1,61.0,21.0,58,24,5.76,-0.82,4.93,103.8,97.2,6.6,87.5,0.319,0.203,0.52,0.471,14.1,28.5,0.243,0.459,15.7,73.9,0.218,Conseco Fieldhouse,678326,16545
3,3,Minnesota Timberwolves,29.7,58.0,24.0,57,25,5.49,0.37,5.86,105.9,99.7,6.2,89.0,0.265,0.137,0.528,0.486,12.4,26.7,0.207,0.444,12.9,72.5,0.215,Target Center,723071,17636
4,4,Sacramento Kings,29.3,55.0,27.0,55,27,5.01,0.4,5.41,110.3,104.9,5.4,92.8,0.305,0.223,0.554,0.507,13.0,26.0,0.242,0.483,13.7,69.8,0.193,ARCO Arena (II),709997,17317
5,5,Dallas Mavericks,27.4,52.0,30.0,53,29,4.44,0.42,4.86,112.1,107.4,4.7,93.2,0.256,0.201,0.536,0.495,11.1,31.4,0.204,0.498,13.9,71.6,0.214,American Airlines Center,825594,20136
6,6,Los Angeles Lakers,29.8,56.0,26.0,52,30,3.9,0.45,4.35,105.5,101.3,4.2,92.3,0.352,0.167,0.522,0.481,12.8,28.1,0.244,0.471,14.3,73.3,0.222,STAPLES Center,777757,18970
