,Team,Season,eFG%,TOV%,ORB%,FTr,Opp eFG%,Opp TOV%,DRB%,Opp FTr,W,L,Outcome
0,Milwaukee Bucks,2019,55.00000000000001,12.0,20.8,19.7,50.3,11.5,80.3,16.2,60,22,2
1,Brooklyn Nets,2019,52.0,13.0,23.8,21.099999999999998,51.2,11.6,76.4,19.0,42,40,0
2,Washington Wizards,2019,53.1,12.3,21.3,20.4,54.6,13.5,74.1,19.900000000000002,32,50,-1
3,Utah Jazz,2019,53.800000000000004,13.4,22.9,21.7,50.7,12.4,80.3,18.9,50,32,0
4,Portland Trail Blazers,2019,52.800000000000004,12.1,26.6,21.0,51.6,11.0,77.9,19.5,53,29,2
5,Phoenix Suns,2019,51.4,13.8,20.5,20.200000000000003,54.50000000000001,13.5,72.5,23.599999999999998,19,63,-1
6,Indiana Pacers,2019,53.0,12.4,21.9,18.2,51.6,14.1,76.2,18.4,48,34,0
7,Denver Nuggets,2019,52.7,11.9,26.6,17.5,52.1,12.3,78.0,19.400000000000002,54,28,1
8,New Orleans Pelicans,2019,52.900000000000006,12.6,24.1,19.3,53.2,11.6,76.8,19.3,33,49,-1
9,Los Angeles Clippers,2019,52.900000000000006,12.7,22.0,25.8,51.4,11.4,76.0,22.400000000000002,48,34,0
10,Atlanta Hawks,2019,52.2,14.3,24.7,19.2,54.1,12.8,76.4,23.7,29,53,-1
11,Sacramento Kings,2019,52.400000000000006,11.5,23.1,17.7,53.300000000000004,13.6,75.5,20.7,39,43,-1
12,Golden State Warriors,2019,56.49999999999999,12.6,22.5,18.2,50.8,11.7,77.1,20.5,57,25,3
13,Philadelphia 76ers,2019,53.2,12.9,24.5,24.099999999999998,51.2,11.1,78.6,20.599999999999998,51,31,1
14,Memphis Grizzlies,2019,50.8,12.9,20.0,21.0,52.1,13.9,77.6,23.200000000000003,33,49,-1
15,Boston Celtics,2019,53.400000000000006,11.5,21.6,17.299999999999997,51.4,13.4,77.0,19.8,49,33,1
16,Dallas Mavericks,2019,51.9,12.7,22.7,21.6,52.2,11.6,77.5,19.1,33,49,-1
17,Minnesota Timberwolves,2019,51.1,11.4,24.6,21.0,53.800000000000004,12.9,74.9,19.0,36,46,-1
18,Toronto Raptors,2019,54.300000000000004,12.4,21.9,19.8,50.9,13.1,77.1,19.0,58,24,4
19,San Antonio Spurs,2019,53.400000000000006,11.0,21.0,19.400000000000002,52.800000000000004,11.0,79.4,17.0,48,34,0
20,Chicago Bulls,2019,50.5,12.7,19.4,18.4,54.1,11.9,77.3,18.8,22,60,-1
21,Los Angeles Lakers,2019,52.7,13.4,22.2,18.0,51.6,12.2,76.4,19.2,37,45,-1
22,Charlotte Hornets,2019,51.4,10.9,21.7,20.5,53.800000000000004,12.1,77.1,17.9,39,43,-1
23,Houston Rockets,2019,54.2,12.0,22.8,22.1,52.5,13.4,74.4,21.0,53,29,1
24,Miami Heat,2019,51.5,13.1,24.8,17.2,51.0,12.7,77.6,20.1,39,43,-1
25,New York Knicks,2019,49.0,12.4,22.1,20.5,53.300000000000004,11.7,76.1,20.3,17,65,-1
26,Detroit Pistons,2019,50.9,12.3,24.8,19.5,52.6,12.8,78.7,21.099999999999998,41,41,0
27,Oklahoma City Thunder,2019,51.4,11.7,26.0,19.0,52.300000000000004,14.4,78.2,20.599999999999998,49,33,0
28,Orlando Magic,2019,51.800000000000004,11.9,22.0,16.8,51.5,11.8,79.7,18.6,42,40,0
29,Cleveland Cavaliers,2019,50.3,12.2,23.7,18.7,56.39999999999999,11.5,77.0,18.099999999999998,19,63,-1
30,Milwaukee Bucks,2018,53.1,12.9,20.4,22.0,52.800000000000004,14.2,75.9,22.0,44,38,0
31,Brooklyn Nets,2018,51.4,13.6,21.0,20.1,51.7,11.0,77.0,20.1,28,54,-1
32,Washington Wizards,2018,52.5,13.3,23.5,19.6,52.2,13.6,77.1,21.2,43,39,0
33,Utah Jazz,2018,52.7,13.7,21.5,20.200000000000003,50.6,14.0,79.8,19.0,48,34,1
34,Portland Trail Blazers,2018,51.1,12.3,23.3,19.2,50.3,11.7,79.1,19.3,49,33,0
35,Phoenix Suns,2018,49.5,13.9,22.5,20.3,53.300000000000004,11.9,76.5,21.2,21,61,-1
36,Indiana Pacers,2018,52.5,12.3,22.7,17.299999999999997,52.7,14.2,76.2,17.4,48,34,0
37,Denver Nuggets,2018,53.6,13.4,25.7,19.8,53.900000000000006,12.6,77.5,17.299999999999997,46,36,-1
38,New Orleans Pelicans,2018,54.1,13.3,20.0,18.3,51.300000000000004,12.5,76.7,17.5,48,34,1
39,Los Angeles Clippers,2018,52.7,13.2,23.5,22.2,52.0,12.6,76.1,20.3,42,40,-1
40,Atlanta Hawks,2018,51.2,14.1,21.1,18.5,53.6,13.6,76.2,18.3,24,58,-1
41,Sacramento Kings,2018,50.2,12.8,21.5,14.299999999999999,54.2,13.5,77.6,19.900000000000002,27,55,-1
42,Golden State Warriors,2018,56.89999999999999,14.1,21.0,19.5,50.4,12.6,76.3,18.6,58,24,4
43,Philadelphia 76ers,2018,53.5,14.6,25.3,19.8,49.2,12.6,78.6,21.8,52,30,1
44,Memphis Grizzlies,2018,50.0,14.0,22.4,20.1,52.900000000000006,13.8,76.5,25.6,22,60,-1
45,Boston Celtics,2018,51.800000000000004,13.0,21.5,18.8,49.5,13.0,78.4,19.1,55,27,2
46,Dallas Mavericks,2018,51.300000000000004,11.6,18.0,16.6,53.2,12.9,78.9,19.3,24,58,-1
47,Minnesota Timberwolves,2018,52.300000000000004,11.4,24.4,22.5,53.900000000000006,13.9,76.4,18.9,47,35,0
48,Toronto Raptors,2018,53.900000000000006,12.1,23.0,19.8,50.1,13.0,77.7,21.2,59,23,1
49,San Antonio Spurs,2018,50.7,12.2,23.7,18.9,50.7,13.2,78.6,17.0,47,35,0
50,Chicago Bulls,2018,49.7,12.6,20.6,16.400000000000002,54.2,12.4,80.6,18.4,27,55,-1
51,Los Angeles Lakers,2018,51.7,13.8,23.6,18.8,51.4,12.5,77.7,19.0,35,47,-1
52,Charlotte Hornets,2018,50.8,11.4,22.2,23.3,53.2,12.4,80.7,16.5,36,46,-1
53,Houston Rockets,2018,55.1,12.7,21.3,23.3,52.1,13.4,79.9,17.1,65,17,2
54,Miami Heat,2018,52.0,13.3,21.5,17.299999999999997,50.7,13.1,79.0,21.5,44,38,0
55,New York Knicks,2018,51.0,13.3,24.1,17.0,52.2,12.2,76.7,20.8,29,53,-1
56,Detroit Pistons,2018,51.2,12.3,22.7,16.900000000000002,52.400000000000006,13.7,78.5,17.2,39,43,-1
57,Oklahoma City Thunder,2018,51.4,12.4,27.7,19.7,52.5,14.7,77.4,19.3,48,34,0
58,Orlando Magic,2018,51.2,13.3,20.0,18.0,52.5,12.8,75.6,18.7,25,57,-1
59,Cleveland Cavaliers,2018,54.7,12.6,20.1,21.4,54.0,12.2,77.3,16.6,50,32,3
60,Milwaukee Bucks,2017,52.7,13.2,21.5,21.0,51.800000000000004,13.6,75.4,21.5,42,40,0
61,Brooklyn Nets,2017,50.7,14.7,19.6,22.8,51.300000000000004,11.6,76.1,21.2,20,62,-1
62,Washington Wizards,2017,52.800000000000004,12.8,24.1,19.900000000000002,52.400000000000006,13.8,75.5,21.3,49,33,1
63,Utah Jazz,2017,52.6,13.2,23.2,21.5,49.3,11.8,78.9,19.5,51,31,1
64,Portland Trail Blazers,2017,52.0,12.5,23.0,21.4,50.8,11.6,76.8,24.099999999999998,41,41,0
65,Phoenix Suns,2017,49.3,13.4,26.0,23.1,52.5,13.1,76.4,26.400000000000002,24,58,-1
66,Indiana Pacers,2017,51.6,12.8,21.2,21.2,51.2,13.6,75.5,22.5,42,40,0
