Player,Image,Number,Salary,Tm,Pos,Birthday,Age,height,weight,Draft
Precious Achiuwa,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630173.png,5,"$2,711,280",Toronto Raptors,F,9/19/1999,22,6-9 / 2.06,234 lbs. / 106.1 kg.,1 20 2020
Steven Adams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203500.png,12,"$17,073,171",Memphis Grizzlies,C,7/20/1993,28,6-11 / 2.11,255 lbs. / 115.7 kg.,1 12 2013
Bam Adebayo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png,13,"$28,103,500",Miami Heat,F-C,7/18/1997,24,6-9 / 2.06,243 lbs. / 110.2 kg.,1 14 2017
Santi Aldama,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630583.png,7,-,-,-,1/10/2001,20,-,-,1 30 2021
LaMarcus Aldridge,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200746.png,12,"$2,641,691",Brooklyn Nets,F-C,7/19/1985,36,6-11 / 2.11,246 lbs. / 111.6 kg.,1 2 2006
Nickeil Alexander-Walker,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629638.png,0,"$3,261,480",New Orleans Pelicans,G,9/2/1998,23,6-5 / 1.96,205 lbs. / 93 kg.,1 17 2019
Grayson Allen,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628960.png,24,"$4,054,695",Milwaukee Bucks,G,10/8/1995,26,6-4 / 1.93,205 lbs. / 93 kg.,1 21 2018
Jarrett Allen,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628386.png,31,"$20,000,000",Cleveland Cavaliers,C,4/21/1998,23,6-11 / 2.11,234 lbs. / 106.1 kg.,1 22 2017
Jose Alvarado,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630631.png,-,-,-,-,-,-,-,-,-
Kyle Anderson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203937.png,1,"$9,937,150",Memphis Grizzlies,F,9/20/1993,28,6-9 / 2.06,230 lbs. / 104.3 kg.,1 30 2014
Giannis Antetokounmpo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203507.png,34,"$39,344,900",Milwaukee Bucks,F-G,12/6/1994,28,6-11 / 2.11,242 lbs. / 109.8 kg.,1 15 2013
Thanasis Antetokounmpo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203648.png,43,"$1,729,217",Milwaukee Bucks,F,7/17/1992,29,6-6 / 1.98,215 lbs. / 97.5 kg.,2 51 2014
Carmelo Anthony,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2546.png,15,"$2,641,691",Los Angeles Lakers,F,5/29/1984,37,6-8 / 2.03,235 lbs. / 106.6 kg.,1 3 2003
Cole Anthony,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630175.png,50,"$3,449,400",Orlando Magic,G,5/15/2000,21,6-3 / 1.91,190 lbs. / 86.2 kg.,1 15 2020
OG Anunoby,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628384.png,3,"$16,071,429",Toronto Raptors,F-G,7/17/1997,24,6-7 / 2.01,232 lbs. / 105.2 kg.,1 23 2017
DJ Augustin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201571.png,14,"$7,000,000",Houston Rockets,G,11/10/1987,35,5-11 / 1.80,180 lbs. / 81.6 kg.,1 9 2008
Deni Avdija,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630166.png,9,"$4,692,840",Washington Wizards,F,1/3/2001,20,6-9 / 2.06,210 lbs. / 95.3 kg.,1 9 2020
Joel Ayayi,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630555.png,17,"$462,629",Washington Wizards,G,3/5/2000,21,6-5 / 1.96,180 lbs. / 81.6 kg.,-
Deandre Ayton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629028.png,22,"$12,632,950",Phoenix Suns,C,7/23/1998,23,6-11 / 2.11,250 lbs. / 113.4 kg.,1 1 2018
Marvin Bagley III,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628963.png,35,"$11,312,114",Sacramento Kings,F,3/14/1999,22,6-11 / 2.11,235 lbs. / 106.6 kg.,1 2 2018
LaMelo Ball,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630163.png,2,"$8,231,760",Charlotte Hornets,G,8/22/2001,20,6-7 / 2.01,181 lbs. / 82.1 kg.,1 3 2020
Lonzo Ball,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628366.png,2,"$18,604,651",Chicago Bulls,G,10/27/1997,24,6-6 / 1.98,190 lbs. / 86.2 kg.,1 2 2017
Mo Bamba,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628964.png,5,"$7,568,743",Orlando Magic,C,5/12/1998,23,7-0 / 2.13,225 lbs. / 102.1 kg.,1 6 2018
Desmond Bane,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630217.png,22,"$2,033,160",Memphis Grizzlies,G,6/25/1998,23,6-6 / 1.98,215 lbs. / 97.5 kg.,1 30 2020
Dalano Banton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630625.png,45,"$925,258",Toronto Raptors,G,11/7/1999,23,6-9 / 2.06,204 lbs. / 92.5 kg.,2 46 2021
Harrison Barnes,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203084.png,40,"$20,284,091",Sacramento Kings,F,5/30/1992,29,6-8 / 2.03,210 lbs. / 95.3 kg.,1 7 2012
Scottie Barnes,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630567.png,4,"$7,280,400",Toronto Raptors,F,8/1/2001,20,6-9 / 2.06,227 lbs. / 103 kg.,1 4 2021
RJ Barrett,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629628.png,9,"$8,623,920",New York Knicks,G,6/14/2000,21,6-6 / 1.98,202 lbs. / 91.6 kg.,1 3 2019
Will Barton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203115.png,5,"$15,625,000",Denver Nuggets,G,1/6/1991,30,6-5 / 1.96,175 lbs. / 79.4 kg.,2 40 2012
Charles Bassey,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629646.png,23,"$925,258",Philadelphia 76ers,F,10/28/2000,21,6-11 / 2.11,235 lbs. / 106.6 kg.,2 53 2021
Keita Bates-Diop,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628966.png,33,"$1,729,217",San Antonio Spurs,F,1/23/1996,25,6-8 / 2.03,235 lbs. / 106.6 kg.,2 48 2018
Nicolas Batum,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201587.png,88,"$12,026,998",Los Angeles Clippers,F-G,12/14/1988,34,6-9 / 2.06,210 lbs. / 95.3 kg.,1 25 2008
Kent Bazemore,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203145.png,20,"$2,401,537",Los Angeles Lakers,G,7/1/1989,32,6-4 / 1.93,195 lbs. / 88.5 kg.,-
Darius Bazley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629647.png,7,"$2,513,040",Oklahoma City Thunder,F,6/12/2000,21,6-8 / 2.03,200 lbs. / 90.7 kg.,1 23 2019
Bradley Beal,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203078.png,3,"$33,724,200",Washington Wizards,G,6/28/1993,28,6-3 / 1.91,207 lbs. / 93.9 kg.,1 3 2012
Malik Beasley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627736.png,25,"$14,491,964",Minnesota Timberwolves,G,11/26/1996,26,6-4 / 1.93,198 lbs. / 89.8 kg.,1 19 2016
DeAndre' Bembry,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627761.png,95,"$1,669,178",Brooklyn Nets,F,7/4/1994,27,6-5 / 1.96,207 lbs. / 93.9 kg.,1 21 2016
Davis Bertans,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202722.png,42,"$16,000,000",Washington Wizards,F,11/12/1992,30,6-10 / 2.08,211 lbs. / 95.7 kg.,2 42 2011
Patrick Beverley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201976.png,12,"$14,320,987",Minnesota Timberwolves,G,6/12/1988,33,6-1 / 1.85,180 lbs. / 81.6 kg.,2 42 2009
Saddiq Bey,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630180.png,41,"$2,824,320",Detroit Pistons,F,4/9/1999,22,6-8 / 2.03,216 lbs. / 98 kg.,1 19 2020
Khem Birch,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203920.png,24,"$6,350,000",Toronto Raptors,C,9/28/1992,29,6-9 / 2.06,209 lbs. / 94.8 kg.,-
Goga Bitadze,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629048.png,88,"$3,098,400",Indiana Pacers,C,7/20/1999,22,6-11 / 2.11,250 lbs. / 113.4 kg.,1 18 2019
Nemanja Bjelica,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202357.png,88,"$2,089,448",Golden State Warriors,F-G,5/9/1988,33,6-10 / 2.08,224 lbs. / 101.6 kg.,2 35 2010
Eric Bledsoe,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202339.png,12,"$18,125,000",Los Angeles Clippers,G,12/9/1989,33,6-1 / 1.85,195 lbs. / 88.5 kg.,1 18 2010
Bogdan Bogdanovic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203992.png,8,"$18,000,000",Atlanta Hawks,G,8/18/1992,29,6-6 / 1.98,205 lbs. / 93 kg.,1 27 2014
Bojan Bogdanovic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202711.png,44,"$18,700,000",Utah Jazz,G-F,4/4/1989,32,6-8 / 2.03,216 lbs. / 98 kg.,2 31 2011
Bol Bol,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629626.png,10,"$2,161,152",Denver Nuggets,C,11/16/1999,23,7-2 / 2.18,235 lbs. / 106.6 kg.,2 44 2019
Leandro Bolmaro,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630195.png,9,"$2,353,320",Minnesota Timberwolves,G,9/11/2000,21,6-7 / 2.01,182 lbs. / 82.6 kg.,1 23 2020
Isaac Bonga,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629067.png,17,"$1,729,217",Toronto Raptors,G,11/8/1999,23,6-8 / 2.03,200 lbs. / 90.7 kg.,2 39 2018
Devin Booker,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626164.png,1,"$31,650,600",Phoenix Suns,G,10/30/1996,25,6-5 / 1.96,206 lbs. / 93.4 kg.,1 13 2015
Brandon Boston Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630527.png,4,-,-,-,11/28/2001,21,-,-,2 51 2021
